# Reparto a mano del banco del Cuerpo General Administrativo del Estado (C1).
#
# **Seis cuadernillos**, los de `convocatoria/administrativo/examenes/`: modelo
# A, modelo B y llamamiento extraordinario de la convocatoria de 2025 y de la
# OEP 2023-2024. Cada uno trae **125 preguntas** —70 de la primera parte más 5
# de reserva, y 20 más 5 por cada uno de los dos supuestos prácticos—, y entre
# los seis suman **750 huecos**.
#
# **Los modelos A y B de un año son el mismo examen barajado**, así que repartir
# los dos contaría cada pregunta dos veces. Lo que este acta reparte son las
# **503 preguntas distintas**, identificadas por enunciado **más las cuatro
# opciones**: hay dos preguntas de exámenes distintos que comparten el enunciado
# «¿Cuál de las siguientes afirmaciones es verdadera?» y no son la misma.
#
# **Entre convocatorias no se repite ninguna.** La coincidencia entre las
# preguntas de 2024 y las de 2025 es **cero**: el examen no recicla, y por eso
# las dos convocatorias suman en vez de solaparse.
#
# **La cuenta, contada y no copiada.** Si los modelos A y B de un año fueran
# idénticos, las distintas serían cuatro exámenes: 4 x 125 = 500. Son 503 porque
# **en 2024 los dos modelos no son exactamente el mismo examen**: llevan dos
# preguntas propias de cada modelo y alguna diferencia de redacción.
#
# **El reparto cuadra con lo que la convocatoria dice del examen.** Las bases
# mandan que la primera parte lleve 40 preguntas de los bloques I a V y 30 del
# bloque VI. Sobre cuatro primeras partes distintas eso son 120 del bloque VI y
# 160 del resto, más las de reserva: este acta pone **122 en el bloque VI** y
# **181 en los bloques I a V**. Ninguna de las dos cifras se ha ajustado; salen
# del reparto y sirven de comprobación de que no está torcido.
#
# **Los supuestos prácticos no tocan el bloque VI**: sus 200 preguntas caen
# enteras en derecho administrativo, gestión de personal y gestión financiera,
# que es lo que hace de ellos la parte difícil de documentar.
#
# **Los 45 temas del programa tienen pregunta.** Ninguno se queda a cero, que es
# lo contrario de lo que pasó en el volumen de Correos.
#
# Columnas:
#   origen    el cuadernillo donde la pregunta aparece por primera vez
#   seccion   primera parte o supuesto, y si es de reserva: las cinco de
#             reserva de cada parte vuelven a numerarse desde el 1
#   numero    el que lleva impreso en ese cuadernillo
#   tema      bloque en romanos y tema en arabigos, como el propio programa
#   motivo    el titulo del tema, para poder leer el acta sin el programa al lado
#   epigrafe  el remite, que se rellena cuando el tema este escrito
#
origen	seccion	numero	tema	motivo	epigrafe
2024-cuestionario-modelo-A	PRIMERA PARTE	1	I.1	La Constitución Española de 1978	--
2024-cuestionario-modelo-A	PRIMERA PARTE	2	I.1	La Constitución Española de 1978	--
2024-cuestionario-modelo-A	PRIMERA PARTE	3	I.2	La Jefatura del Estado	--
2024-cuestionario-modelo-A	PRIMERA PARTE	4	I.3	Las Cortes Generales	--
2024-cuestionario-modelo-A	PRIMERA PARTE	5	I.5	El Gobierno y la Administración	--
2024-cuestionario-modelo-A	PRIMERA PARTE	6	I.4	El Poder Judicial	--
2024-cuestionario-modelo-A	PRIMERA PARTE	7	I.5	El Gobierno y la Administración	--
2024-cuestionario-modelo-A	PRIMERA PARTE	8	I.6	El Gobierno Abierto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	9	I.8	La Administración General del Estado	--
2024-cuestionario-modelo-A	PRIMERA PARTE	10	I.7	La Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno	--
2024-cuestionario-modelo-A	PRIMERA PARTE	11	I.9	La Organización territorial del Estado	--
2024-cuestionario-modelo-A	PRIMERA PARTE	12	I.10	La Administración local	--
2024-cuestionario-modelo-A	PRIMERA PARTE	13	I.11	La organización de la Unión Europea	--
2024-cuestionario-modelo-A	PRIMERA PARTE	14	II.4	La protección de datos personales y su régimen Jurídico	--
2024-cuestionario-modelo-A	PRIMERA PARTE	15	II.1	Atención al público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	16	II.2	Concepto de documento, registro y archivo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	17	III.2	El acto administrativo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	18	I.3	Las Cortes Generales	--
2024-cuestionario-modelo-A	PRIMERA PARTE	19	III.3	Las Leyes del Procedimiento Administrativo Común de las Administraciones Públicas y del Régimen Jurídico del Sector Público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	20	III.3	Las Leyes del Procedimiento Administrativo Común de las Administraciones Públicas y del Régimen Jurídico del Sector Público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	21	III.4	Los contratos del sector público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	22	III.4	Los contratos del sector público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	23	III.5	Procedimientos y formas de la actividad administrativa	--
2024-cuestionario-modelo-A	PRIMERA PARTE	24	III.3	Las Leyes del Procedimiento Administrativo Común de las Administraciones Públicas y del Régimen Jurídico del Sector Público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	25	III.7	Políticas de igualdad y contra la violencia de género	--
2024-cuestionario-modelo-A	PRIMERA PARTE	26	IV.1	El personal al servicio de las Administraciones públicas	--
2024-cuestionario-modelo-A	PRIMERA PARTE	27	IV.3	El personal funcionario al servicio de las Administraciones públicas	--
2024-cuestionario-modelo-A	PRIMERA PARTE	28	IV.4	Adquisición y pérdida de la condición de funcionario	--
2024-cuestionario-modelo-A	PRIMERA PARTE	29	IV.8	El personal laboral al servicio de las Administraciones públicas	--
2024-cuestionario-modelo-A	PRIMERA PARTE	30	IV.5	Provisión de puestos de trabajo en la función pública	--
2024-cuestionario-modelo-A	PRIMERA PARTE	31	IV.6	Las incompatibilidades	--
2024-cuestionario-modelo-A	PRIMERA PARTE	32	IV.7	El régimen de la Seguridad Social de los funcionarios	--
2024-cuestionario-modelo-A	PRIMERA PARTE	33	IV.8	El personal laboral al servicio de las Administraciones públicas	--
2024-cuestionario-modelo-A	PRIMERA PARTE	34	IV.9	El régimen de la Seguridad Social del personal laboral	--
2024-cuestionario-modelo-A	PRIMERA PARTE	35	V.1	El presupuesto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	36	V.2	El presupuesto del Estado en España	--
2024-cuestionario-modelo-A	PRIMERA PARTE	37	V.6	Gestión económica y financiera de los contratos del sector público	--
2024-cuestionario-modelo-A	PRIMERA PARTE	38	V.3	El procedimiento administrativo de ejecución del presupuesto de gasto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	39	V.4	Las retribuciones e indemnizaciones de los funcionarios públicos y del personal laboral al servicio de la Administración pública	--
2024-cuestionario-modelo-A	PRIMERA PARTE	40	V.5	Gastos para la compra de bienes y servicios	--
2024-cuestionario-modelo-A	PRIMERA PARTE	41	VI.1	Informática básica	--
2024-cuestionario-modelo-A	PRIMERA PARTE	42	VI.1	Informática básica	--
2024-cuestionario-modelo-A	PRIMERA PARTE	43	VI.1	Informática básica	--
2024-cuestionario-modelo-A	PRIMERA PARTE	44	VI.1	Informática básica	--
2024-cuestionario-modelo-A	PRIMERA PARTE	45	VI.3	El explorador de Windows	--
2024-cuestionario-modelo-A	PRIMERA PARTE	46	VI.2	Introducción al sistema operativo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	47	VI.3	El explorador de Windows	--
2024-cuestionario-modelo-A	PRIMERA PARTE	48	VI.3	El explorador de Windows	--
2024-cuestionario-modelo-A	PRIMERA PARTE	49	VI.3	El explorador de Windows	--
2024-cuestionario-modelo-A	PRIMERA PARTE	50	VI.2	Introducción al sistema operativo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	51	VI.3	El explorador de Windows	--
2024-cuestionario-modelo-A	PRIMERA PARTE	52	VI.4	Procesadores de texto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	53	VI.4	Procesadores de texto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	54	VI.4	Procesadores de texto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	55	VI.4	Procesadores de texto	--
2024-cuestionario-modelo-A	PRIMERA PARTE	56	VI.6	Bases de datos	--
2024-cuestionario-modelo-A	PRIMERA PARTE	57	VI.6	Bases de datos	--
2024-cuestionario-modelo-A	PRIMERA PARTE	58	VI.5	Hojas de cálculo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	59	VI.5	Hojas de cálculo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	60	VI.5	Hojas de cálculo	--
2024-cuestionario-modelo-A	PRIMERA PARTE	61	VI.7	Correo electrónico	--
2024-cuestionario-modelo-A	PRIMERA PARTE	62	VI.7	Correo electrónico	--
2024-cuestionario-modelo-A	PRIMERA PARTE	63	VI.7	Correo electrónico	--
2024-cuestionario-modelo-A	PRIMERA PARTE	64	VI.7	Correo electrónico	--
2024-cuestionario-modelo-A	PRIMERA PARTE	65	VI.2	Introducción al sistema operativo	--
