# Reparto a mano de las preguntas del bloque específico de INFORMACIÓN Y
# CONTENIDOS.
#
# Cuadernillos de la ocupación, los cuatro que hay en `convocatoria/examenes`:
#
#   · `31_preguntas_iyc`                   119 preguntas, plantilla completa
#   · `33_preguntas_iyc_2_llamamiento`     118 preguntas, plantilla completa
#   · `35_preguntas_iyc_prueba_invalidada_por_filtracion`   sin preguntas
#   · `46_preguntas_iyc_radio_clasica`     123 preguntas, plantilla completa
#
# El 35 no aporta nada: el PDF de la prueba anulada por filtración se guardó,
# pero el texto que se extrae de él son 880 bytes de marca de agua y ni una
# sola pregunta. No es un descarte, es que no hay qué descartar.
#
# El 46 sí se descarta, y conviene decir por qué con la cuenta delante. Es el
# cuadernillo de los destinos de *Información y Contenidos (Radio Clásica)*,
# cuyo Anexo 2 no está en el repositorio, y su bloque específico son 97
# preguntas de teoría de la música y repertorio —cadencia plagal, Cancionero
# de Upsala, séptima de dominante— que no responden a ningún punto del temario
# que sí tenemos. La comprobación decisiva: de los siete documentos que el
# Anexo 2 nombra con su enlace (Manual de Estilo, Código de autorregulación,
# RDL 4/2018, Directiva 2018/1808, Resolución del Parlamento Europeo de
# 25/11/2020, Informe UNESCO y Carta ética de la FIP), el 46 no pregunta por
# **ninguno**, ni una vez; los cuadernillos 31 y 33 preguntan por cinco de los
# siete. Meter esas 97 preguntas aquí sería llenar los temas de este bloque
# con la materia de otro. Sus preguntas del bloque **común** sí valen y ya
# están en `banco/g*.md`, y la 102 —iluminación de los lugares de trabajo— se
# manda al banco de prevención por `reclasificadas.tsv`.
#
# Quedan, pues, los cuadernillos 31 y 33: 180 preguntas fuera del bloque
# común, de las que 178 se reparten aquí y 2 vuelven al banco general por
# `reclasificadas.tsv` (la 82 del 31, sobre el Comité Intercentros, y la 97
# del 33, sobre el complemento de disponibilidad: las dos son del III Convenio
# Colectivo, que es materia del tema 5 del temario general).
#
# El reparto se ha hecho leyendo las 180 una a una con su respuesta oficial
# delante. La regla que lo ordena, porque los tres primeros puntos del temario
# se solapan si no se fija:
#
#   · si la pregunta se contesta sabiendo **qué es, cómo funciona, quién la
#     compone o dónde tiene su sede** una institución, va al tema de esa
#     institución: 02 si es de la Unión Europea, 03 si es un poder o una
#     institución del Estado o un organismo internacional;
#   · si se contesta sabiendo **qué pasó** —un premio, un resultado, una cifra,
#     una fecha, un nombramiento noticioso—, va al 01;
#   · y si la respuesta está en uno de los siete documentos del Anexo 2, va a
#     su tema, aunque la pregunta parezca de actualidad.
#
# Lo que sale de ahí, y hay que decirlo porque marca el trabajo del bloque:
#
#   tema 01 actualidad ....................... 121 preguntas
#   tema 02 Unión Europea .....................  17
#   tema 03 instituciones del Estado e int. ...  21
#   tema 04 Código de autorregulación .........   2
#   tema 05 RDL 4/2018 ........................   0
#   tema 06 Manual de Estilo ..................   9
#   tema 07 Directiva 2018/1808 ...............   2
#   tema 08 Resolución del Parlamento Europeo .   1
#   tema 09 Informe UNESCO ....................   5
#   tema 10 Carta ética de la FIP .............   0
#
# Dos temas del programa, el 05 y el 10, no tienen ni una pregunta en los dos
# cuadernillos. Eso no los saca del temario —el examen siguiente puede
# preguntarlos— pero sí dice que sus temas se escriben contra la norma y el
# documento, sin banco que los respalde.
#
# tema: 01 actualidad · 02 Unión Europea · 03 instituciones y poderes del
#       Estado, organismos internacionales · 04 Código de autorregulación ·
#       05 RDL 4/2018 · 06 Manual de Estilo · 07 Directiva 2018/1808 ·
#       08 Resolución del Parlamento Europeo · 09 Informe UNESCO ·
#       10 Carta ética de la FIP
#
# Una fila con `*` en el número saca del banco el cuadernillo entero.
#
origen	nº	tema	motivo
46_preguntas_iyc_radio_clasica	*	fuera	Cuadernillo de Radio Clásica: 97 preguntas de música y ninguna de los siete documentos del Anexo 2
31_preguntas_iyc	1	01	Premio Nacional de Poesía 2024: cultura del año
31_preguntas_iyc	2	01	Propósitos de Javier Milei en Argentina: política internacional
31_preguntas_iyc	7	09	Condiciones para que el periodismo funcione como bien común: Informe UNESCO
31_preguntas_iyc	8	01	Municipios de mayor relevancia turística según Exceltur: economía
31_preguntas_iyc	9	01	Apoyos de la investidura de Illa como president de la Generalitat
31_preguntas_iyc	10	01	Países firmantes de los Acuerdos de Abraham
31_preguntas_iyc	11	01	Premio Nacional de Fotografía 2023
31_preguntas_iyc	12	01	Apodo de la selección española femenina de balonmano: deportes
31_preguntas_iyc	13	01	Springfield en el debate entre Trump y Harris
31_preguntas_iyc	14	01	Última novela de Juan Tallón
31_preguntas_iyc	15	01	Animales excluidos de la Ley de protección y bienestar animal
31_preguntas_iyc	16	01	Libro del Premio Cervantes 2023
31_preguntas_iyc	17	01	Año en que empieza a emitir el Canal 24 horas de RTVE
31_preguntas_iyc	18	03	Presidencia de la Junta de Castilla y León: institución autonómica
31_preguntas_iyc	19	01	Moneda oficial de la Federación Rusa
31_preguntas_iyc	20	04	Franjas de protección reforzada de lunes a viernes: Código de autorregulación
31_preguntas_iyc	21	06	Participación de la ciudadanía en los Medios Interactivos: Manual de Estilo
31_preguntas_iyc	22	01	Gran Premio Especial del Jurado de Venecia 2024
31_preguntas_iyc	23	03	Titular del cargo de lehendakari: institución autonómica
31_preguntas_iyc	25	01	Países que forman la región del Magreb
31_preguntas_iyc	26	03	Mayoría con la que se otorga la confianza al presidente del Gobierno
31_preguntas_iyc	27	01	Mejores ciudades del mundo según Brand Finance City Index
31_preguntas_iyc	28	06	Captar imágenes en lugares de uso público: Manual de Estilo
31_preguntas_iyc	29	01	Canción más escuchada del verano en España según Spotify
31_preguntas_iyc	31	01	A quién apoyó Kamala Harris en las primarias demócratas de 2008
31_preguntas_iyc	32	01	El movimiento «realfooder» y la denuncia del Ministerio de Consumo
31_preguntas_iyc	33	01	Equipos andaluces en Primera División 2024/25
31_preguntas_iyc	34	03	Qué es la UNRWA: organismo de Naciones Unidas
31_preguntas_iyc	35	01	Año del fallecimiento de Benedicto XVI
31_preguntas_iyc	38	01	Victoria de AfD en Turingia: política internacional
31_preguntas_iyc	39	01	Publicación en el BOE y entrada en vigor de la Ley de amnistía
31_preguntas_iyc	42	01	Hitos de la misión Polaris Dawn
31_preguntas_iyc	46	06	Uso de micrófonos ocultos: Manual de Estilo
31_preguntas_iyc	47	01	Primer ministro de Portugal
31_preguntas_iyc	48	01	Estado en que Trump fue tiroteado durante la campaña
31_preguntas_iyc	49	01	Causa oficial de la muerte de Alexéi Navalni
31_preguntas_iyc	50	02	Nacionalidad de Roberta Metsola, presidenta del Parlamento Europeo
31_preguntas_iyc	52	01	Premio Donostia del Festival de San Sebastián 2024
31_preguntas_iyc	54	03	Desde cuándo está en funciones un gobierno
31_preguntas_iyc	55	01	Representante de España en Eurovisión Junior
31_preguntas_iyc	56	01	Migrantes atendidos en El Hierro en 2023
31_preguntas_iyc	57	04	Horario legal de protección del menor: Código de autorregulación
31_preguntas_iyc	58	01	Llamadas diarias al 016 entre enero y junio
31_preguntas_iyc	59	01	Por qué no pudo presentarse María Corina Machado
31_preguntas_iyc	60	01	Fecha del ataque de Hamás contra Israel
31_preguntas_iyc	61	01	Medallas de España en los Juegos Paralímpicos de París
31_preguntas_iyc	63	01	Contra qué es eficaz el uso de antibióticos
31_preguntas_iyc	64	01	Deportista española que abandonó París 2024 por lesión
