# Reparto a mano de las preguntas del bloque específico de Producción (Asistencia)
# entre los 18 temas del Anexo 2. Una fila por pregunta clasificada; lo que no
# tiene fila todavía no se ha repartido, y el generador lo cuenta.
#
# origen  = nombre del cuadernillo, sin extensión
# nº      = número de la pregunta dentro del cuadernillo
# tema    = número del tema del temario específico (dos dígitos)
# motivo  = por qué va ahí; el artículo o la rúbrica que la contesta
origen	nº	tema	motivo
77_preguntas_produccion_asist	13	02	Art. 87: autores de la obra audiovisual
77_preguntas_produccion_asist	31	02	Art. 37 bis.1: definición de obra huérfana
77_preguntas_produccion_asist	46	02	Art. 17: las cuatro modalidades del derecho de explotación
77_preguntas_produccion_asist	56	02	Art. 14.6.º: retirada de la obra del comercio previa indemnización
77_preguntas_produccion_asist	79	02	Art. 128: 25 años de la mera fotografía (el enunciado cita el 26 por error)
77_preguntas_produccion_asist	85	02	Art. 11.1.º: las traducciones son obra derivada
78_preguntas_produccion_asist_2_llamamiento	2	02	Art. 2: contenido de la propiedad intelectual
78_preguntas_produccion_asist_2_llamamiento	34	02	Art. 26: vida del autor más setenta años
78_preguntas_produccion_asist_2_llamamiento	51	02	Art. 43.2: cinco años y país de la cesión (opciones c y d idénticas)
77_preguntas_produccion_asist	35	17	Art. 7.1: el menor consiente desde los catorce años
78_preguntas_produccion_asist_2_llamamiento	12	17	Art. 88: derecho a la desconexión digital
78_preguntas_produccion_asist_2_llamamiento	15	17	Art. 7.1 otra vez: catorce años, con «16» como distractor del art. 8.1 RGPD
78_preguntas_produccion_asist_2_llamamiento	26	17	Arts. 11 a 18: la transparencia es deber del responsable, no derecho del afectado
78_preguntas_produccion_asist_2_llamamiento	74	17	Art. 34.3: diez días para comunicar designaciones y ceses del delegado
77_preguntas_produccion_asist	30	02	Art. 88 LPI: por el contrato de producción se presumen cedidos al productor los derechos de explotación
77_preguntas_produccion_asist	4	01	Qué abarca la posproducción dentro de las fases de la producción
78_preguntas_produccion_asist_2_llamamiento	7	01	Producción ajena frente a propia, asociada y coproducción
78_preguntas_produccion_asist_2_llamamiento	8	01	En qué consiste la posproducción de vídeo
78_preguntas_produccion_asist_2_llamamiento	84	01	Las tres fases: preproducción, producción y posproducción
78_preguntas_produccion_asist_2_llamamiento	6	01	Edición on-line frente a off-line: si el producto final sale o no al aire
78_preguntas_produccion_asist_2_llamamiento	92	01	En qué fase interviene el ambientador musical; se pregunta por la fase, no por el puesto
77_preguntas_produccion_asist	5	03	Qué distingue al guion literario
77_preguntas_produccion_asist	67	03	Escaleta: secuencias del guion ordenadas narrativamente
78_preguntas_produccion_asist_2_llamamiento	21	03	Elipsis
78_preguntas_produccion_asist_2_llamamiento	36	03	Modelo europeo de presentación del guion, a dos columnas
78_preguntas_produccion_asist_2_llamamiento	53	03	Definición de secuencia
78_preguntas_produccion_asist_2_llamamiento	66	03	Storyline
77_preguntas_produccion_asist	80	04	Definición de desglose
78_preguntas_produccion_asist_2_llamamiento	17	04	El desglose se hace en preproducción
77_preguntas_produccion_asist	23	05	Composición del equipo básico de localización
78_preguntas_produccion_asist_2_llamamiento	37	05	Utilidad principal de la localización
78_preguntas_produccion_asist_2_llamamiento	86	05	Cover set: escenario de reserva
77_preguntas_produccion_asist	6	06	Cuándo se elabora el plan de trabajo
77_preguntas_produccion_asist	37	06	Diagrama de PERT como herramienta de gestión de proyectos
77_preguntas_produccion_asist	50	06	Hoja de script: documento que se levanta durante el rodaje para el montaje
78_preguntas_produccion_asist_2_llamamiento	76	06	Cuándo se entrega el parte de trabajo
77_preguntas_produccion_asist	19	07	Función del lector de partituras
77_preguntas_produccion_asist	29	07	El fixer y su apoyo logístico
77_preguntas_produccion_asist	59	07	El figurinista pertenece al equipo de vestuario
78_preguntas_produccion_asist_2_llamamiento	4	07	Cometido del escenógrafo o director artístico
78_preguntas_produccion_asist_2_llamamiento	14	07	El forillista, dentro del equipo de escenografía
78_preguntas_produccion_asist_2_llamamiento	96	07	Pancake: material del equipo de maquillaje; no hay tema propio de caracterización y el 7 es el de equipos artísticos
77_preguntas_produccion_asist	52	08	Internegativo: soporte del que se obtiene la copia positiva
77_preguntas_produccion_asist	61	08	24 fps, la frecuencia tradicional del cine
78_preguntas_produccion_asist_2_llamamiento	29	08	Resolución del DCI 4K frente al UHD
78_preguntas_produccion_asist_2_llamamiento	60	08	SxS Pro para el camcorder XDCAM EX
78_preguntas_produccion_asist_2_llamamiento	78	08	El píxel como unidad mínima de información gráfica digital
78_preguntas_produccion_asist_2_llamamiento	94	08	HDR: mayor contraste y altas luces más brillantes
77_preguntas_produccion_asist	14	09	Set virtual frente a decorado virtual
77_preguntas_produccion_asist	16	09	Los 360 grados de la realidad virtual
77_preguntas_produccion_asist	32	09	Ventaja del tracking por patrones ORAD frente al de sensores
77_preguntas_produccion_asist	44	09	Astera Titan Tube: tubos LED de una marca comercial
77_preguntas_produccion_asist	72	09	Tronera: abertura para introducir equipos en el estudio
77_preguntas_produccion_asist	78	09	Realidad aumentada: imagen real sobre entorno virtual
77_preguntas_produccion_asist	86	09	Transmisión de la luz al atravesar una superficie no opaca
77_preguntas_produccion_asist	90	09	Color complementario del magenta
77_preguntas_produccion_asist	96	09	Los props se piden al departamento de Arte
