# Preguntas que la clasificación por palabras clave coloca donde no toca.
#
# `herramientas/calibrar.py` reparte por palabras clave, y una palabra clave no
# lee: «Constitución de capitales» la manda al tema de la Constitución y
# «Corona» a la Corona, aunque la pregunta sea de matemática financiera o de
# quién compuso la «Misa de la Coronación». Esta lista es el resultado de leer
# las 472 entradas del banco una a una y decidir cada caso contra la fuente.
# La aplica `herramientas/banco.py` después de clasificar, así que sobrevive a
# regenerar el banco —que es justo lo que no hacía corregir los `banco/g*.md` a
# mano—, y avisa de las filas cuya entrada ya no existe.
#
# destino:
#   fuera            no es del temario general (materia propia del puesto,
#                    actualidad, Estatuto de los Trabajadores, protección de
#                    datos... nada de eso está en el programa del anexo 2)
#   prl-especifico   es del tema de prevención del *específico* (Producción 18 ·
#                    Documentación 7 · Información y Contenidos 11), no del
#                    tema 8 del general
#   g1 g2-g3 g4 g5 g6 g7 g8   el tema del general al que sí pertenece
#
# origen	nº	destino	motivo

# ── del cajón de la Constitución (g1) ────────────────────────────────────────
23_preguntas_gea	69	fuera	Matemática financiera. La casa «Constitución de capitales», que es una de las opciones
54_preguntas_mecanica_a	25	fuera	Mecanismos: el piñón. La casa «Corona», otra de las opciones
64_preguntas_profesor_orquesta	51	fuera	La «Misa de la Coronación» es de Mozart. La casa «Corona»
31_preguntas_iyc	108	fuera	Quién preside hoy el Tribunal Constitucional: actualidad, no Constitución
33_preguntas_iyc_2_llamamiento	35	fuera	Votación del Congreso sobre Venezuela: actualidad parlamentaria
33_preguntas_iyc_2_llamamiento	68	fuera	Composición del Grupo Mixto de esta legislatura: actualidad
33_preguntas_iyc_2_llamamiento	69	fuera	Resultado de la votación de la ley de amnistía: actualidad
33_preguntas_iyc_2_llamamiento	74	fuera	Dónde se firmó el acuerdo de renovación del CGPJ: actualidad
33_preguntas_iyc_2_llamamiento	81	fuera	Cuántos senadores hay hoy. La Constitución no fija el número
33_preguntas_iyc_2_llamamiento	99	fuera	Evo Morales y el Tribunal Constitucional de Bolivia: actualidad internacional
77_preguntas_produccion_asist	48	fuera	Nombramiento de la Presidencia de la AEPD: LO 3/2018, que no está en el programa
78_preguntas_produccion_asist_2_llamamiento	46	fuera	Quién supervisa la LO 3/2018: la AEPD. Tampoco está en el programa
66_preguntas_realizacion_a	2	g7	Licencias estatales por ondas hertzianas: art. 22 de la Ley 13/2022, no Constitución

