puesto	nombre	ambito	ocupacion	grupo	temas	plazas
1	Analista	Gestión de Tecnologías de Información y Comunicación	Desarrollo, mantenimiento de redes, sistemas y microinformática	B03	16	1
2	Auditor/a	Gestión Corporativa	Auditoría	B01	23	2
3	Auxiliar Administrativo/a	Gestión Corporativa	Apoyo a la gestión corporativa	B05	11	1
4	Ayudante de Producción	Producción de Contenidos Audiovisuales y Multimedia	Producción y programación	B04	17	4
5	Ayudante de Realización	Producción de Contenidos Audiovisuales y Multimedia	Realización	B03	18	6
6	Ayudante Técnico Electrónico	Gestión de Recursos e Infraestructuras Tecnológicas	Instalaciones electrónicas	B04	15	3
7	Ayudante Técnico Mezclador	Producción de Contenidos Audiovisuales y Multimedia	Realización	B03	17	3
8	Cámara Operador	Producción de Contenidos Audiovisuales y Multimedia	Captación de imagen e iluminación	B03	17	21
9	Capataz de Iluminación	Producción de Contenidos Audiovisuales y Multimedia	Captación de imagen e iluminación	B03	14	1
10	Conductor Polivalente Unidad Móvil	Producción de Contenidos Audiovisuales y Multimedia	Transportes y equipos	B04	17	1
11	Coordinador/a Programas	Producción de Contenidos Audiovisuales y Multimedia	Producción y programación	B02	17	1
12	Documentalista	Producción de Contenidos Audiovisuales y Multimedia	Documentación audiovisual	B02	15	4
13	Editor/a de Continuidad	Producción de Contenidos Audiovisuales y Multimedia	Realización	B03	20	4
14	Eléctrico de Iluminación	Producción de Contenidos Audiovisuales y Multimedia	Captación de imagen e iluminación	B04	14	2
15	Grafista	Producción de Contenidos Audiovisuales y Multimedia	Realización	B03	18	7
16	Iluminador/a	Producción de Contenidos Audiovisuales y Multimedia	Captación de imagen e iluminación	B04	15	1
17	Iluminador/a Superior	Producción de Contenidos Audiovisuales y Multimedia	Captación de imagen e iluminación	B03	15	1
18	Jefe Radiofrecuencia	Gestión de Recursos e Infraestructuras Tecnológicas	Telecomunicaciones	B03	19	3
19	Jefatura Sección Administración	Gestión Corporativa	Económico financiero	B03	21	1
20	Jefatura Sección Comercial	Innovación y Negocio	Comercial y publicidad	B03	18	2
21	Jefatura Sección Compras	Gestión Corporativa	Económico financiero	B03	23	1
22	Jefe de Sección Económico-Administrativa	Gestión Corporativa	Económico financiero	B03	21	4
23	Jefe Departamento Explotación y Mantenimiento	Gestión de Recursos e Infraestructuras Tecnológicas	Instalaciones eléctricas	B02	25	1
24	Jefe Sección Coordinación Territorial	Gestión Corporativa	Recursos humanos	B03	20	4
25	Jefe Sección Patrimonio	Gestión Corporativa	Económico financiero	B03	24	1
26	Letrado/a	Gestión Corporativa	Servicios jurídicos	B01	29	3
27	Oficial Técnico Electricista	Gestión de Recursos e Infraestructuras Tecnológicas	Instalaciones eléctricas	B03	19	5
28	Operador/a de Sonido	Producción de Contenidos Audiovisuales y Multimedia	Realización	B03	16	21
29	Operador/a Informático	Gestión de Tecnologías de Información y Comunicación	Desarrollo, mantenimiento de redes, sistemas y microinformática	B04	16	5
30	Operador/a Montador/a de Vídeo	Producción de Contenidos Audiovisuales y Multimedia	Realización	B04	16	17
31	Presentador Productor de Radio	Producción de Contenidos Audiovisuales y Multimedia	Información y contenidos	B03	18	1
32	Productor/a	Producción de Contenidos Audiovisuales y Multimedia	Producción y programación	B03	15	14
33	Realizador/a	Producción de Contenidos Audiovisuales y Multimedia	Realización	B02	19	8
34	Redactor/a	Producción de Contenidos Audiovisuales y Multimedia	Información y contenidos	B02	20	61
35	Técnico de Explotación	Gestión de Tecnologías de Información y Comunicación	Desarrollo, mantenimiento de redes, sistemas y microinformática	B02	21	4
36	Técnico de Sistemas Base	Gestión de Tecnologías de Información y Comunicación	Desarrollo, mantenimiento de redes, sistemas y microinformática	B03	21	2
37	Técnico Electrónico	Gestión de Recursos e Infraestructuras Tecnológicas	Instalaciones electrónicas	B03	19	3
38	Técnico Superior Prevención Riesgos Laborales	Gestión Corporativa	Prevención de riesgos laborales	B02	19	2
39	Titulado/a Medio (Enfermero del Trabajo)	Gestión Corporativa	Prevención de riesgos laborales	B03	21	1
40	Titulado/a Superior	Producción de Contenidos Audiovisuales y Multimedia	Producción y programación	B02	20	1
