bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	19950411	19950410	BOE-A-1995-8730	
aunico	Artículo único	1	19950411	19950410	BOE-A-1995-8730	
ddunica	Disposición derogatoria única	1	19950411	19950410	BOE-A-1995-8730	
dfunica	Disposición final única	1	19950411	19950410	BOE-A-1995-8730	
firma		1	19950411	19950410	BOE-A-1995-8730	
reglamento	REGLAMENTO	1	19950411	19950410	BOE-A-1995-8730	
ci	CAPÍTULO I	1	19950411	19950410	BOE-A-1995-8730	
a1	Artículo 1	1	19950411	19950410	BOE-A-1995-8730	
a2	Artículo 2	1	19950411	19950410	BOE-A-1995-8730	
cii	CAPÍTULO II	1	19950411	19950410	BOE-A-1995-8730	
a3	Artículo 3	1	19950411	19950410	BOE-A-1995-8730	
ciii	CAPÍTULO III	1	19950411	19950410	BOE-A-1995-8730	
a4	Artículo 4	1	19950411	19950410	BOE-A-1995-8730	
a5	Artículo 5	1	19950411	19950410	BOE-A-1995-8730	
a6	Artículo 6	1	19950411	19950410	BOE-A-1995-8730	
a7	Artículo 7	1	19950411	19950410	BOE-A-1995-8730	
a8	Artículo 8	1	19950411	19950410	BOE-A-1995-8730	
a9	Artículo 9	1	19950411	19950410	BOE-A-1995-8730	
civ	CAPÍTULO IV	1	19950411	19950410	BOE-A-1995-8730	
a10	Artículo 10	1	19950411	19950410	BOE-A-1995-8730	
a11	Artículo 11	1	19950411	19950410	BOE-A-1995-8730	
cv	CAPÍTULO V	1	19950411	19950410	BOE-A-1995-8730	
a12	Artículo 12	1	19950411	19950410	BOE-A-1995-8730	
cvi	CAPÍTULO VI	1	19950411	19950410	BOE-A-1995-8730	
a13	Artículo 13	1	19950411	19950410	BOE-A-1995-8730	
cvii	CAPÍTULO VII	1	19950411	19950410	BOE-A-1995-8730	
a14	Artículo 14	1	19950411	19950410	BOE-A-1995-8730	
cviii	CAPÍTULO VIII	1	19950411	19950410	BOE-A-1995-8730	
a15	Artículo 15	2	20060305	20060304	BOE-A-2006-3875	
a16	Artículo 16	1	19950411	19950410	BOE-A-1995-8730	
a17	Artículo 17	1	19950411	19950410	BOE-A-1995-8730	
a18	Artículo 18	1	19950411	19950410	BOE-A-1995-8730	
a19	Artículo 19	1	19950411	19950410	BOE-A-1995-8730	
cix	CAPÍTULO IX	1	19950411	19950410	BOE-A-1995-8730	
a20	Artículo 20	1	19950411	19950410	BOE-A-1995-8730	
a21	Artículo 21	1	19950411	19950410	BOE-A-1995-8730	
a22	Artículo 22	1	19950411	19950410	BOE-A-1995-8730	
cx	CAPÍTULO X	1	19950411	19950410	BOE-A-1995-8730	
a23	Artículo 23	1	19950411	19950410	BOE-A-1995-8730	
daprimera	Disposición adicional primera	1	19950411	19950410	BOE-A-1995-8730	
dasegunda	Disposición adicional segunda	1	19950411	19950410	BOE-A-1995-8730	
datercera	Disposición adicional tercera	1	19950411	19950410	BOE-A-1995-8730	
dacuarta	Disposición adicional cuarta	1	19950411	19950410	BOE-A-1995-8730	
daquinta	Disposición adicional quinta	1	19950411	19950410	BOE-A-1995-8730	
dasexta	Disposición adicional sexta	1	19950411	19950410	BOE-A-1995-8730	
dtprimera	Disposición transitoria primera	1	19950411	19950410	BOE-A-1995-8730	
dtsegunda	Disposición transitoria segunda	1	19950411	19950410	BOE-A-1995-8730	
