bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
ni		1	20260726	20260725	BOE-A-2026-16172	
pr	[preambulo]	1	20260726	20260725	BOE-A-2026-16172	
au	Artículo único	1	20260726	20260725	BOE-A-2026-16172	
da	Disposición adicional primera	1	20260726	20260725	BOE-A-2026-16172	
da-2	Disposición adicional segunda	1	20260726	20260725	BOE-A-2026-16172	
da-3	Disposición adicional tercera	1	20260726	20260725	BOE-A-2026-16172	
da-4	Disposición adicional cuarta	1	20260726	20260725	BOE-A-2026-16172	
dt	Disposición transitoria única	1	20260726	20260725	BOE-A-2026-16172	
dd	Disposición derogatoria única	1	20260726	20260725	BOE-A-2026-16172	
df	Disposición final primera	1	20260726	20260725	BOE-A-2026-16172	
df-2	Disposición final segunda	1	20260726	20260725	BOE-A-2026-16172	
df-3	Disposición final tercera	1	20260726	20260725	BOE-A-2026-16172	
df-4	Disposición final cuarta	1	20260726	20260725	BOE-A-2026-16172	
df-5	Disposición final quinta	1	20260726	20260725	BOE-A-2026-16172	
df-6	Disposición final sexta	1	20260726	20260725	BOE-A-2026-16172	
df-7	Disposición final séptima	1	20260726	20260725	BOE-A-2026-16172	
df-8	Disposición final octava	1	20260726	20260725	BOE-A-2026-16172	
df-9	Disposición final novena	1	20260726	20260725	BOE-A-2026-16172	
df-10	Disposición final décima	1	20260726	20260725	BOE-A-2026-16172	
fi	[firma]	1	20260726	20260725	BOE-A-2026-16172	
es	ESTATUTO	1	20260726	20260725	BOE-A-2026-16172	
ci	CAPÍTULO I	1	20260726	20260725	BOE-A-2026-16172	
a1	Artículo 1	1	20260726	20260725	BOE-A-2026-16172	
a2	Artículo 2	1	20260726	20260725	BOE-A-2026-16172	
a3	Artículo 3	1	20260726	20260725	BOE-A-2026-16172	
a4	Artículo 4	1	20260726	20260725	BOE-A-2026-16172	
a5	Artículo 5	1	20260726	20260725	BOE-A-2026-16172	
a6	Artículo 6	1	20260726	20260725	BOE-A-2026-16172	
ci-2	CAPÍTULO II	1	20260726	20260725	BOE-A-2026-16172	
a7	Artículo 7	1	20260726	20260725	BOE-A-2026-16172	
s1	Sección 1	1	20260726	20260725	BOE-A-2026-16172	
a8	Artículo 8	1	20260726	20260725	BOE-A-2026-16172	
a9	Artículo 9	1	20260726	20260725	BOE-A-2026-16172	
a1-2	Artículo 10	1	20260726	20260725	BOE-A-2026-16172	
a1-3	Artículo 11	1	20260726	20260725	BOE-A-2026-16172	
a1-4	Artículo 12	1	20260726	20260725	BOE-A-2026-16172	
s2	Sección 2	1	20260726	20260725	BOE-A-2026-16172	
a1-5	Artículo 13	1	20260726	20260725	BOE-A-2026-16172	
a1-6	Artículo 14	1	20260726	20260725	BOE-A-2026-16172	
a1-7	Artículo 15	1	20260726	20260725	BOE-A-2026-16172	
ci-3	CAPÍTULO III	1	20260726	20260725	BOE-A-2026-16172	
a1-8	Artículo 16	1	20260726	20260725	BOE-A-2026-16172	
a1-9	Artículo 17	1	20260726	20260725	BOE-A-2026-16172	
a1-10	Artículo 18	1	20260726	20260725	BOE-A-2026-16172	
ci-4	CAPÍTULO IV	1	20260726	20260725	BOE-A-2026-16172	
a1-11	Artículo 19	1	20260726	20260725	BOE-A-2026-16172	
a2-2	Artículo 20	1	20260726	20260725	BOE-A-2026-16172	
a2-3	Artículo 21	1	20260726	20260725	BOE-A-2026-16172	
a2-4	Artículo 22	1	20260726	20260725	BOE-A-2026-16172	
a2-5	Artículo 23	1	20260726	20260725	BOE-A-2026-16172	
a2-6	Artículo 24	1	20260726	20260725	BOE-A-2026-16172	
a2-7	Artículo 25	1	20260726	20260725	BOE-A-2026-16172	
cv	CAPÍTULO V	1	20260726	20260725	BOE-A-2026-16172	
a2-8	Artículo 26	1	20260726	20260725	BOE-A-2026-16172	
a2-9	Artículo 27	1	20260726	20260725	BOE-A-2026-16172	
a2-10	Artículo 28	1	20260726	20260725	BOE-A-2026-16172	
a2-11	Artículo 29	1	20260726	20260725	BOE-A-2026-16172	
a3-2	Artículo 30	1	20260726	20260725	BOE-A-2026-16172	
a3-3	Artículo 31	1	20260726	20260725	BOE-A-2026-16172	
a3-4	Artículo 32	1	20260726	20260725	BOE-A-2026-16172	
cv-2	CAPÍTULO VI	1	20260726	20260725	BOE-A-2026-16172	
a3-5	Artículo 33	1	20260726	20260725	BOE-A-2026-16172	
a3-6	Artículo 34	1	20260726	20260725	BOE-A-2026-16172	
cv-3	CAPÍTULO VII	1	20260726	20260725	BOE-A-2026-16172	
a3-7	Artículo 35	1	20260726	20260725	BOE-A-2026-16172	
a3-8	Artículo 36	1	20260726	20260725	BOE-A-2026-16172	
a3-9	Artículo 37	1	20260726	20260725	BOE-A-2026-16172	
cv-4	CAPÍTULO VIII	1	20260726	20260725	BOE-A-2026-16172	
a3-10	Artículo 38	1	20260726	20260725	BOE-A-2026-16172	
