bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
pr		3	20240818	20240518	BOE-A-2024-10010	
preambulo	Preambulo	1	20000101	19991231	BOE-A-1999-24919	
aunico	Artículo único	1	20000101	19991231	BOE-A-1999-24919	
daprimera	Disposición adicional primera	1	20000101	19991231	BOE-A-1999-24919	
dasegunda	Disposición adicional segunda	1	20000101	19991231	BOE-A-1999-24919	
datercera	Disposición adicional tercera	1	20000101	19991231	BOE-A-1999-24919	
dtunica	Disposición transitoria única	1	20000101	19991231	BOE-A-1999-24919	
ddunica	Disposición derogatoria única	1	20000101	19991231	BOE-A-1999-24919	
dfprimera	Disposición final primera	1	20000101	19991231	BOE-A-1999-24919	
dfsegunda	Disposición final segunda	1	20000101	19991231	BOE-A-1999-24919	
firma		1	20000101	19991231	BOE-A-1999-24919	
an	ANEXO	1	20000101	19991231	BOE-A-1999-24919	
ti	TÍTULO I	1	20000101	19991231	BOE-A-1999-24919	
ci	CAPÍTULO I	1	20000101	19991231	BOE-A-1999-24919	
a1	Artículo 1	1	20000101	19991231	BOE-A-1999-24919	
a2	Artículo 2	2	20040809	20040809	BOE-A-2004-14709	
a3	Artículo 3	1	20000101	19991231	BOE-A-1999-24919	
cii	CAPÍTULO II	1	20000101	19991231	BOE-A-1999-24919	
s1	Sección 1	1	20000101	19991231	BOE-A-1999-24919	
a4	Artículo 4	1	20000101	19991231	BOE-A-1999-24919	
a5	Artículo 5	1	20000101	19991231	BOE-A-1999-24919	
a6	Artículo 6	1	20000101	19991231	BOE-A-1999-24919	
a7	Artículo 7	1	20000101	19991231	BOE-A-1999-24919	
a8	Artículo 8	1	20000101	19991231	BOE-A-1999-24919	
a9	Artículo 9	1	20000101	19991231	BOE-A-1999-24919	
a10	Artículo 10	1	20000101	19991231	BOE-A-1999-24919	
a11	Artículo 11	1	20000101	19991231	BOE-A-1999-24919	
s2	Sección 2	1	20000101	19991231	BOE-A-1999-24919	
a12	Artículo 12	2	20040809	20040809	BOE-A-2004-14709	
ciii	CAPÍTULO III	1	20000101	19991231	BOE-A-1999-24919	
s1-2	Sección 1	1	20000101	19991231	BOE-A-1999-24919	
a13	Artículo 13	2	20040809	20040809	BOE-A-2004-14709	
a14	Artículo 14	1	20000101	19991231	BOE-A-1999-24919	
s2-2	Sección 2	1	20000101	19991231	BOE-A-1999-24919	
a15	Artículo 15	1	20000101	19991231	BOE-A-1999-24919	
a16	Artículo 16	1	20000101	19991231	BOE-A-1999-24919	
a17	Artículo 17	1	20000101	19991231	BOE-A-1999-24919	
a18	Artículo 18	1	20000101	19991231	BOE-A-1999-24919	
a19	Artículo 19	1	20000101	19991231	BOE-A-1999-24919	
civ	CAPÍTULO IV	1	20000101	19991231	BOE-A-1999-24919	
s1-3	Sección 1	1	20000101	19991231	BOE-A-1999-24919	
a20	Artículo 20	1	20000101	19991231	BOE-A-1999-24919	
a21	Artículo 21	1	20000101	19991231	BOE-A-1999-24919	
a22	Artículo 22	1	20000101	19991231	BOE-A-1999-24919	
s2-3	Sección 2	1	20000101	19991231	BOE-A-1999-24919	
a23	Artículo 23	2	20061124	20061123	BOE-A-2006-20368	
cv	CAPÍTULO V	1	20000101	19991231	BOE-A-1999-24919	
a24	Artículo 24	1	20000101	19991231	BOE-A-1999-24919	
a25	Artículo 25	1	20000101	19991231	BOE-A-1999-24919	
tii	TÍTULO II	1	20000101	19991231	BOE-A-1999-24919	
ci-2	CAPÍTULO I	1	20000101	19991231	BOE-A-1999-24919	
a26	Artículo 26	1	20000101	19991231	BOE-A-1999-24919	
cii-2	CAPÍTULO II	1	20000101	19991231	BOE-A-1999-24919	
s1-4	Sección 1	1	20000101	19991231	BOE-A-1999-24919	
a27	Artículo 27	1	20000101	19991231	BOE-A-1999-24919	
a28	Artículo 28	1	20000101	19991231	BOE-A-1999-24919	
a29	Artículo 29	1	20000101	19991231	BOE-A-1999-24919	
a30	Artículo 30	1	20000101	19991231	BOE-A-1999-24919	
a31	Artículo 31	1	20000101	19991231	BOE-A-1999-24919	
a32	Artículo 32	1	20000101	19991231	BOE-A-1999-24919	
a33	Artículo 33	1	20000101	19991231	BOE-A-1999-24919	
a34	Artículo 34	1	20000101	19991231	BOE-A-1999-24919	
a35	Artículo 35	1	20000101	19991231	BOE-A-1999-24919	
a36	Artículo 36	1	20000101	19991231	BOE-A-1999-24919	
a37	Artículo 37	2	20070510	20070509	BOE-A-2007-9414	
a38	Artículo 38	1	20000101	19991231	BOE-A-1999-24919	
s2-4	Sección 2	2	20040809	20040809	BOE-A-2004-14709	
a39	Artículo 39	2	20040809	20040809	BOE-A-2004-14709	
a40	Artículo 40	2	20040809	20040809	BOE-A-2004-14709	
a41	Artículo 41	2	20040809	20040809	BOE-A-2004-14709	
a42	Artículo 42	2	20040809	20040809	BOE-A-2004-14709	
a43	Artículo 43	2	20040809	20040809	BOE-A-2004-14709	
a44	Artículo 44	2	20040809	20040809	BOE-A-2004-14709	
s3	Sección 3	1	20000101	19991231	BOE-A-1999-24919	
a45	Artículo 45	2	20070510	20070509	BOE-A-2007-9414	
a46	Artículo 46	1	20000101	19991231	BOE-A-1999-24919	
a47	Artículo 47	2	20070510	20070509	BOE-A-2007-9414	
s4	Sección 4	1	20000101	19991231	BOE-A-1999-24919	
a48	Artículo 48	1	20000101	19991231	BOE-A-1999-24919	
a49	Artículo 49	1	20000101	19991231	BOE-A-1999-24919	
ciii-2	CAPÍTULO III	1	20000101	19991231	BOE-A-1999-24919	
a50	Artículo 50	1	20000101	19991231	BOE-A-1999-24919	
civ-2	CAPÍTULO IV	1	20000101	19991231	BOE-A-1999-24919	
a51	Artículo 51	1	20000101	19991231	BOE-A-1999-24919	
a52	Artículo 52	1	20000101	19991231	BOE-A-1999-24919	
cv-2	CAPÍTULO V	1	20000101	19991231	BOE-A-1999-24919	
a53	Artículo 53	1	20000101	19991231	BOE-A-1999-24919	
a54	Artículo 54	1	20000101	19991231	BOE-A-1999-24919	
a55	Artículo 55	1	20000101	19991231	BOE-A-1999-24919	
a56	Artículo 56	1	20000101	19991231	BOE-A-1999-24919	
a57	Artículo 57	1	20000101	19991231	BOE-A-1999-24919	
a58	Artículo 58	1	20000101	19991231	BOE-A-1999-24919	
tiii	TÍTULO III	1	20000101	19991231	BOE-A-1999-24919	
ci-3	CAPÍTULO I	1	20000101	19991231	BOE-A-1999-24919	
a59	Artículo 59	1	20000101	19991231	BOE-A-1999-24919	
a60	Artículo 60	1	20000101	19991231	BOE-A-1999-24919	
cii-3	CAPÍTULO II	1	20000101	19991231	BOE-A-1999-24919	
s1-5	Sección 1	1	20000101	19991231	BOE-A-1999-24919	
a61	Artículo 61	1	20000101	19991231	BOE-A-1999-24919	
a62	Artículo 62	1	20000101	19991231	BOE-A-1999-24919	
a63	Artículo 63	1	20000101	19991231	BOE-A-1999-24919	
s2-5	Sección 2	1	20000101	19991231	BOE-A-1999-24919	
a64	Artículo 64	1	20000101	19991231	BOE-A-1999-24919	
a65	Artículo 65	1	20000101	19991231	BOE-A-1999-24919	
a66	Artículo 66	1	20000101	19991231	BOE-A-1999-24919	
a67	Artículo 67	1	20000101	19991231	BOE-A-1999-24919	
a68	Artículo 68	1	20000101	19991231	BOE-A-1999-24919	
a69	Artículo 69	1	20000101	19991231	BOE-A-1999-24919	
s3-2	Sección 3	1	20000101	19991231	BOE-A-1999-24919	
a70	Artículo 70	1	20000101	19991231	BOE-A-1999-24919	
ciii-3	CAPÍTULO III	1	20000101	19991231	BOE-A-1999-24919	
a71	Artículo 71	1	20000101	19991231	BOE-A-1999-24919	
a72	Artículo 72	1	20000101	19991231	BOE-A-1999-24919	
a73	Artículo 73	1	20000101	19991231	BOE-A-1999-24919	
a74	Artículo 74	1	20000101	19991231	BOE-A-1999-24919	
a75	Artículo 75	1	20000101	19991231	BOE-A-1999-24919	
civ-3	CAPÍTULO IV	1	20000101	19991231	BOE-A-1999-24919	
a76	Artículo 76	1	20000101	19991231	BOE-A-1999-24919	
a77	Artículo 77	1	20000101	19991231	BOE-A-1999-24919	
cv-3	CAPÍTULO V	1	20000101	19991231	BOE-A-1999-24919	
a78	Artículo 78	1	20000101	19991231	BOE-A-1999-24919	
a79	Artículo 79	1	20000101	19991231	BOE-A-1999-24919	
