bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	20051125	20051105	BOE-A-2005-18262	
a1	Artículo 1	1	20051125	20051105	BOE-A-2005-18262	
a2	Artículo 2	1	20051125	20051105	BOE-A-2005-18262	
a3	Artículo 3	1	20051125	20051105	BOE-A-2005-18262	
a4	Artículo 4	1	20051125	20051105	BOE-A-2005-18262	
a5	Artículo 5	1	20051125	20051105	BOE-A-2005-18262	
a6	Artículo 6	1	20051125	20051105	BOE-A-2005-18262	
a7	Artículo 7	1	20051125	20051105	BOE-A-2005-18262	
a8	Artículo 8	1	20051125	20051105	BOE-A-2005-18262	
daunica	Disposición adicional única	1	20051125	20051105	BOE-A-2005-18262	
dtunica	Disposición transitoria única	2	20090327	20090326	BOE-A-2009-5032	
ddunica	Disposición derogatoria única	1	20051125	20051105	BOE-A-2005-18262	
dfprimera	Disposición final primera	1	20051125	20051105	BOE-A-2005-18262	
dfsegunda	Disposición final segunda	1	20051125	20051105	BOE-A-2005-18262	
firma		1	20051125	20051105	BOE-A-2005-18262	
an	ANEXO	1	20051125	20051105	BOE-A-2005-18262	
