bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
no		1	20230102	20220622	BOE-A-2022-10297	
pr	[preambulo]	1	20230102	20220622	BOE-A-2022-10297	
ci	CAPÍTULO I	1	20230102	20220622	BOE-A-2022-10297	
a1	Artículo 1	1	20230102	20220622	BOE-A-2022-10297	
a2	Artículo 2	2	20230102	20220622	BOE-A-2022-10297	
a3	Artículo 3	1	20230102	20220622	BOE-A-2022-10297	
a4	Artículo 4	1	20230102	20220622	BOE-A-2022-10297	
a5	Artículo 5	2	20230102	20220622	BOE-A-2022-10297	
ci-2	CAPÍTULO II	1	20230102	20220622	BOE-A-2022-10297	
a6	Artículo 6	1	20230102	20220622	BOE-A-2022-10297	
ci-3	CAPÍTULO III	1	20230102	20220622	BOE-A-2022-10297	
a7	Artículo 7	1	20230102	20220622	BOE-A-2022-10297	
a8	Artículo 8	1	20230102	20220622	BOE-A-2022-10297	
a9	Artículo 9	1	20230102	20220622	BOE-A-2022-10297	
a1-2	Artículo 10	1	20230102	20220622	BOE-A-2022-10297	
ci-4	CAPÍTULO IV	1	20230102	20220622	BOE-A-2022-10297	
a1-3	Artículo 11	3	20230112	20230111	BOE-A-2023-628	
a1-4	Artículo 12	1	20230102	20220622	BOE-A-2022-10297	
a1-5	Artículo 13	1	20230102	20220622	BOE-A-2022-10297	
a1-6	Artículo 14	1	20230102	20220622	BOE-A-2022-10297	
cv	CAPÍTULO V	1	20230102	20220622	BOE-A-2022-10297	
a1-7	Artículo 15	1	20230102	20220622	BOE-A-2022-10297	
a1-8	Artículo 16	1	20230102	20220622	BOE-A-2022-10297	
a1-9	Artículo 17	2	20230102	20220622	BOE-A-2022-10297	
cv-2	CAPÍTULO VI	1	20230102	20220622	BOE-A-2022-10297	
a1-10	Artículo 18	1	20230102	20220622	BOE-A-2022-10297	
cv-3	CAPÍTULO VII	1	20230102	20220622	BOE-A-2022-10297	
a1-11	Artículo 19	1	20230102	20220622	BOE-A-2022-10297	
a2-2	Artículo 20	1	20230102	20220622	BOE-A-2022-10297	
da	Disposición adicional primera	1	20230102	20220622	BOE-A-2022-10297	
da-2	Disposición adicional segunda	1	20230102	20220622	BOE-A-2022-10297	
da-3	Disposición adicional tercera	1				NINGUNA EN VIGOR AL CORTE
da-4	Disposición adicional cuarta	1				NINGUNA EN VIGOR AL CORTE
dt	Disposición transitoria primera	1	20230102	20220622	BOE-A-2022-10297	
dt-2	Disposición transitoria segunda	1	20230102	20220622	BOE-A-2022-10297	
dt-3	Disposición transitoria tercera	1	20230102	20220622	BOE-A-2022-10297	
dt-4	Disposición transitoria cuarta	1	20230102	20220622	BOE-A-2022-10297	
dt-5	Disposición transitoria quinta	1				NINGUNA EN VIGOR AL CORTE
dt-6	Disposición transitoria sexta	1				NINGUNA EN VIGOR AL CORTE
dd	Disposición derogatoria única	1	20230102	20220622	BOE-A-2022-10297	
df	Disposición final primera	1	20230102	20220622	BOE-A-2022-10297	
df-2	Disposición final segunda	1	20230102	20220622	BOE-A-2022-10297	
df-3	Disposición final tercera	1	20230102	20220622	BOE-A-2022-10297	
fi	[firma]	1	20230102	20220622	BOE-A-2022-10297	
ai	ANEXO I	1	20230102	20220622	BOE-A-2022-10297	
ai-2	ANEXO II	1	20230102	20220622	BOE-A-2022-10297	
ai-3	ANEXO III	2	20230102	20220622	BOE-A-2022-10297	
ai-4	ANEXO IV	2	20230102	20220622	BOE-A-2022-10297	
av	ANEXO V	2	20230102	20220622	BOE-A-2022-10297	
av-2	ANEXO VI	2	20230102	20220622	BOE-A-2022-10297	
av-3	ANEXO VII	1	20230102	20220622	BOE-A-2022-10297	
av-4	ANEXO VIII	2	20230102	20220622	BOE-A-2022-10297	
ai-5	ANEXO IX	2	20230102	20220622	BOE-A-2022-10297	
ax	ANEXO X	2	20230102	20220622	BOE-A-2022-10297	
