bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	19970827	19970807	BOE-A-1997-17824	
a1	Artículo 1	1	19970827	19970807	BOE-A-1997-17824	
a2	Artículo 2	1	19970827	19970807	BOE-A-1997-17824	
a3	Artículo 3	1	19970827	19970807	BOE-A-1997-17824	
a4	Artículo 4	1	19970827	19970807	BOE-A-1997-17824	
a5	Artículo 5	1	19970827	19970807	BOE-A-1997-17824	
a6	Artículo 6	1	19970827	19970807	BOE-A-1997-17824	
dtunica	Disposición transitoria única	1	19970827	19970807	BOE-A-1997-17824	
ddunica	Disposición derogatoria única	2	20041203	20041113	BOE-A-2004-19311	
dfprimera	Disposición final primera	1	19970827	19970807	BOE-A-1997-17824	
dfsegunda	Disposición final segunda	1	19970827	19970807	BOE-A-1997-17824	
dftercera	Disposición final tercera	1	19970827	19970807	BOE-A-1997-17824	
firma		1	19970827	19970807	BOE-A-1997-17824	
ani	ANEXO I	2	20041203	20041113	BOE-A-2004-19311	
anii	ANEXO II	2	20041203	20041113	BOE-A-2004-19311	
