ocupacion	puestos	meritos	conExamen	unidades_especifico	unidades_escritas	pct_especifico	puntos_general	volumen
Ambientación decorados	2	0	2	8	3	38	8	
Ambientación Musical	3	0	3	29	1	3	8	
Ambientación Vestuario	5	0	5	8	3	38	8	
Arquitectura Superior	2	2	0	0	0		0	
Arquitectura técnica	2	2	0	0	0		0	
Diseño decorados	3	0	3	14	4	29	8	
Diseño Gráfico	12	3	9	14	8	57	8	
Diseño de Escenografía	1	1	0	0	0		0	
Documentación	30	13	24	21	21	100	8	libro-documentacion
Edición, montaje y procesos audiovisuales	50	14	36	30	25	83	8	
Efectos especiales	1	0	1	15	3	20	8	
Gestión Administrativa	98	18	80	13	13	100	8	libro-gestion-administrativa
Gestión Abogado	2	0	2	29	10	34	5	
Gestión	60	8	52	31	31	100	8	libro-gestion
Iluminación	7	0	7	52	28	54	8	
Imagen Personal	10	0	10	10	3	30	8	
Información Gráfica y Captación de Sonido	81	8	73	26	21	81	8	
Información y Contenidos	474	204	270	11	11	100	8	libro-informacion
Información y contenidos RADIO CLÁSICA	11	4	8	16	2	12	8	
Información y Contenidos FRANCÉS	2	0	2	11	11	100	8	libro-informacion
Información y Contenidos INGLÉS	2	0	2	11	11	100	8	libro-informacion
Información y Contenidos METEOROLOGÍA	1	0	1	28	4	14	8	
Información y Contenidos PORTUGUÉS	1	0	1	11	11	100	8	libro-informacion
Información y Contenidos RUSO	1	0	1	11	11	100	8	libro-informacion
Ing. Sup. Informática	25	1	24	33	4	12	8	
Ing. Sup. Industrial	3	2	1	23	1	4	8	
Ing. Sup. Telecomunicación	13	4	9	29	3	10	8	
Ing. Téc. Telecomunicación	10	1	9	24	2	8	8	
Ing. Téc. Industrial	2	0	2	22	1	5	8	
Luminotecnia	17	0	17	23	8	35	8	
Mecánica de equipo e instalaciones	4	0	4	18	1	6	8	
Medicina de empresa	2	0	2	33	1	3	8	
Montaje equipos audiovisuales	24	0	24	21	15	71	8	
Prevención Riesgos Laborales	2	0	2	37	7	19	7	
Producción - Asistencia	54	14	40	18	18	100	8	libro-produccion-asistencia
Producción	35	4	31	17	17	100	8	libro-produccion
Prof. Coro Bajo	3	0	3	9	0	0	8	
Prof. Coro Mezzosoprano	2	0	2	9	0	0	8	
Prof. Coro Soprano	1	0	1	9	0	0	8	
Prof. Coro Tenor	3	0	3	9	0	0	8	
Prof. Orq. Clarinete	1	0	1	11	0	0	8	
Prof. Orq. Fagot	1	0	1	11	0	0	8	
Prof. Orq. Oboe	1	0	1	11	0	0	8	
Prof. Orq. Percusión	1	0	1	11	0	0	8	
Prof. Orq. Viola	2	0	2	11	0	0	8	
Prof. Orq. Violín	1	0	1	11	0	0	8	
Proyectos Edificación	1	1	0	0	0		0	
Realización - Asistencia	129	25	104	39	39	100	8	libro-realizacion
Realización	30	7	23	24	17	71	8	
Sonido	102	9	93	43	8	19	8	
Técnica de equipos instal. y sist. eléctricos	8	0	8	17	2	12	8	
Técnica de equipos y sistemas electrónicos	97	8	89	21	2	10	8	
Técnica Informática	27	2	25	27	6	22	8	
