puesto	tema	tipo	escrito_en_puesto	escrito_en_tema	semejanza	enunciado
34	1	nuevo				Derecho a la información y libertad de expresión: artículo 20 de la Constitución Española; veracidad, pluralismo, independencia editorial, derecho al honor, intimidad y propia imagen —Ley Orgánica 1/1982—; derecho de rectificación —Ley Orgánica 2/1984—; secreto profesional y cláusula de conciencia.
34	2	nuevo				Misión informativa de una radiotelevisión pública autonómica: Ley 18/2007, de la RTVA; Ley 13/2022, General de Comunicación Audiovisual; Ley 10/2018, audiovisual de Andalucía; Carta del Servicio Público de la RTVA 2024-2029; servicio público, neutralidad, objetividad, cohesión territorial, diversidad social y responsabilidad editorial.
34	3	nuevo				Organización de una redacción audiovisual: agenda informativa, funcionamiento de una mesa de redacción, edición, escaleta, asignación de coberturas, coordinación territorial, directos, continuidad informativa y relación con programas, de acuerdo con la organización funcional de RTVA/CSRTV y su Estatuto Profesional.
34	4	nuevo				Fuentes informativas y verificación: fuentes oficiales, institucionales, sociales, documentales, judiciales, científicas y digitales; contraste, atribución, contextualización, verificación de imágenes, bulos, desinformación y obligaciones de diligencia profesional derivadas de la veracidad informativa.
34	5	nuevo				Géneros periodísticos en radio, televisión y entornos digitales: noticia, crónica, reportaje, entrevista, análisis, directo, debate, tertulia, conexión, narración deportiva y formatos explicativos.
34	6	nuevo				Grupos de comunicación públicos y privados de España. FORTA.
34	7	nuevo				Redacción audiovisual para televisión: estructura de la noticia, entradilla, off, totales, colas, piezas, titulares, rótulos, guion informativo, relación texto-imagen y adaptación al tiempo de emisión.
34	8	nuevo				Redacción y comunicación radiofónica: lenguaje radiofónico, escritura para ser escuchada, cortes de voz, crónica, entrevista, boletín, informativo, magazine, directo y coordinación con operación de sonido.
34	9	nuevo				Presentación, locución y comunicación oral en contenidos informativos: claridad, ritmo, lectura, improvisación controlada, autocontrol, uso del prompter, comunicación con control y adecuación al formato.
34	10	nuevo				Coberturas en directo, últimas horas y situaciones de incertidumbre: preparación, actualización de datos, modulación del lenguaje, verificación en tiempo real, coordinación con redacción y equipos técnicos, seguridad y continuidad informativa.
