puesto	tema	rtve	pct	actualizar	nota
0	1	temas/general/01-constitucion-espanola.md	75	sí	CE entera artículo a artículo (valores, derechos, garantías, órganos, Título VIII, reforma); faltan organización territorial de Andalucía y competencias locales (LBRL); redacción 21-12-2022
0	2	-	0	no	Estatuto de Autonomía e instituciones y Administración de la Junta: nada en RTVE
0	3	temas/informacion/02-union-europea.md;temas/informacion/08-resolucion-parlamento-europeo.md	5	no	Sólo actualidad de la UE y menciones a la Carta; ni TUE ni representación de la Junta ante la UE
0	4	temas/general/07-ley-13-2022.md	50	sí	LGCA: principios, pluralismo, menores, accesibilidad y servicio público desarrollados; falta toda la Ley 10/2018 andaluza
0	5	-	0	no	Ley 18/2007 de la RTVA: norma distinta de la Ley 17/2006; sin tema en RTVE
0	6	-	0	no	Carta de Servicio Público RTVA 2024-2029 y Estatuto profesional: nada en RTVE
0	7	-	0	no	X Convenio de la RTVA: el III Convenio de RTVE es norma distinta
0	8	temas/general/06-igualdad.md	0	no	Ley 12/2007, Ley 15/2022 y Ley 4/2023 no aparecen; el tema RTVE es el Plan de Igualdad de RTVE
0	9	temas/general/08-ley-31-1995.md;temas/prl/prl-especifico.md	90	sí	LPRL desarrollada artículo a artículo; redacción a 21-12-2022
0	10	temas/produccion-asistencia/17-proteccion-de-datos.md;temas/gestion/09-proteccion-de-datos.md;temas/produccion/16-aspectos-juridicos.md	80	sí	RGPD y LOPDGDD completos (principios, bases, derechos, DPD, sanciones, derechos digitales) y aplicación a producción audiovisual; redacción 21-12-2022
2	1	temas/gestion/10-el-presupuesto.md	5	sí	Sólo menciona función interventora y control financiero de la IGAE; nada de control interno ni IGJA
2	2	-	0	no	Auditoría pública y privada: sin tema en RTVE
2	3	temas/general/01-constitucion-espanola.md	5	sí	Sólo el art. 136 CE sobre el Tribunal de Cuentas; nada de la Cámara de Cuentas de Andalucía ni OCEX
2	4	-	0	no	Relación con órganos de control: nada en RTVE
2	5	temas/gestion/11-modelo-contable.md;temas/gestion/12-proceso-contable.md;temas/gestion/10-el-presupuesto.md	30	sí	Contabilidad financiera PGC y presupuesto estatal; falta normativa contable del sector público andaluz
2	6	temas/gestion/12-proceso-contable.md;temas/gestion/13-el-patrimonio.md;temas/gestion/19-informacion-financiera.md;temas/gestion/14-gastos-ingresos-tesoreria.md	55	sí	Cuentas anuales, balance, PyG, periodificación y análisis económico-financiero; ECPN, EFE y EINF sólo citados o ausentes
2	7	temas/gestion/21-planificacion-y-control.md	5	no	Sólo control de actividades operativas; nada de procedimientos internos ni circuitos administrativos
2	8	temas/gestion/10-el-presupuesto.md;temas/gestion/21-planificacion-y-control.md	25	sí	Ciclo presupuestario LGP y control de desviaciones; falta régimen presupuestario de entes instrumentales de la Junta
2	9	temas/gestion/11-modelo-contable.md;temas/gestion/12-proceso-contable.md	15	sí	Sólo PGC financiero; falta contabilidad pública de la Junta, GIRO, extrapresupuestaria y Cuenta General
2	10	temas/produccion/16-aspectos-juridicos.md	5	sí	Sólo contrato menor y subcontratación; falta casi todo el enunciado de la LCSP
2	11	-	0	no	Subvenciones y justificación: sin tema en RTVE
2	12	temas/gestion/15-inmovilizado-material.md;temas/gestion/16-inmovilizado-intangible.md	30	sí	Inmovilizado, amortización, deterioro y bajas; faltan inventario y salvaguarda de bienes públicos
2	13	temas/produccion-asistencia/17-proteccion-de-datos.md	5	sí	Sólo los sistemas de denuncias internas del art. 24 LOPDGDD; nada de compliance, fraude, conflicto de intereses ni Ley 2/2023
2	14	-	0	no	Auditoría de cumplimiento: sin tema en RTVE
2	15	temas/produccion-asistencia/17-proteccion-de-datos.md;temas/gestion-administrativa/01-gestion-administrativa.md	40	sí	Protección de datos completa y archivo; falta confidencialidad y custodia específica de documentación económica
2	16	temas/gestion/21-planificacion-y-control.md;temas/gestion/17-costes-de-produccion.md	60	no	Indicadores, CMI, control presupuestario y contabilidad de costes; reporting sólo implícito
