puesto	tema	rtve	pct	actualizar	nota
8	1	temas/informacion-grafica/03-la-camara-y-el-sensor.md;temas/informacion-grafica/04-objetivos-filtros-y-accesorios.md;temas/informacion-grafica/08-control-de-camara-y-ajuste.md	90	no	Sensor CCD/CMOS y Bayer, focal, diafragma, PdC, tiraje, filtros ND/conversión, ganancia en dB y balance de blancos desarrollados; falta poco (enfoque asistido/peaking apenas)
8	2	temas/informacion-grafica/10-lenguaje-audiovisual.md;temas/realizacion/06-lenguaje-tecnico-y-narrativo.md;temas/realizacion-tv/13-lenguaje-tecnico-y-narrativo.md;temas/informacion-grafica/04-objetivos-filtros-y-accesorios.md	90	no	Encuadre, composición y peso visual, eje y salto de eje, raccord, movimientos, PdC y relato completos
8	3	temas/informacion-grafica/03-la-camara-y-el-sensor.md;temas/informacion-grafica/11-teoria-de-la-informacion-audiovisual.md;temas/informacion-grafica/09-envios-directos-y-robotizadas.md;temas/realizacion/12-las-unidades-moviles.md;temas/realizacion/14-la-retransmision.md	70	sí	Familias ENG/EFP, situaciones plató/exterior/directo, UM y retransmisión; realizacion/14 describe la cadena de señal de RTVE; falta operativa de cámara en retransmisión
8	4	temas/informacion-grafica/05-soportes-y-estabilizacion.md;temas/montaje-equipos/04-cabezas-y-soportes.md;temas/montaje-equipos/07-maquinaria-movimiento-camaras.md;temas/montaje-equipos/08-la-cabeza-caliente.md;temas/realizacion-tv/14-la-camara-accesorios-y-posibilidades.md	90	no	Trípode, pedestal, grúa, dolly/slider, estabilizador corporal, gimbal, hombro, cabeza caliente y PTZ cubiertos
8	5	temas/informacion-grafica/07-la-iluminacion-en-eng.md;temas/informacion-grafica/01-luz-color-y-percepcion.md;temas/realizacion/08-la-iluminacion.md	90	no	Temperatura de color, mired y CTO/CTB, contraste en pasos, dureza y sombras, interior con ventana, luz natural y artificial
8	6	temas/informacion-grafica/06-el-sonido-en-eng.md;temas/montaje-equipos/06-sonido-microfonos-y-altavoces.md	70	no	Microfonía, patrones polares, inalámbricos, margen dinámico, ambiente y sincronía con claqueta; niveles de grabación en cámara tratados de pasada
8	7	temas/informacion-grafica/03-la-camara-y-el-sensor.md;temas/edicion-montaje/05-soportes-formatos-e-ingesta.md;temas/realizacion-tv/12-formatos-y-procesos-de-registro.md	60	no	Formatos, códec/contenedor, MXF, proxy, soportes e ingesta desarrollados; tarjetas, metadatos de cámara, copia de seguridad y protocolo de entrega apenas
8	8	temas/informacion-grafica/11-teoria-de-la-informacion-audiovisual.md;temas/informacion-grafica/08-control-de-camara-y-ajuste.md;temas/realizacion-tv/10-funciones-del-realizador.md	50	no	Orden de trabajo, cobertura por tipo de pieza, recursos y preparación de directos; entrevistas y relación con redacción poco desarrolladas
8	9	temas/informacion-grafica/08-control-de-camara-y-ajuste.md;temas/informacion-grafica/02-senales-y-formatos.md;temas/informacion-grafica/04-objetivos-filtros-y-accesorios.md;temas/realizacion-tv/14-la-camara-accesorios-y-posibilidades.md;temas/realizacion-tv/12-formatos-y-procesos-de-registro.md	75	no	Exposición, knee, negros, detalle y ruido, color, defectos de imagen, estabilización y compresión; continuidad sólo en raccord
8	10	temas/informacion-grafica/11-teoria-de-la-informacion-audiovisual.md	60	no	Tratamiento por tipo de programa (informativo, deporte, entretenimiento) y situaciones: rueda de prensa, manifestación, judicial/institucional; cultura y sucesos poco
