puesto	tema	rtve	pct	actualizar	nota
1	1	temas/tecnica-informatica/11-arquitectura-soa-y-servicios-web.md;temas/tecnica-informatica/08-desarrollo-de-aplicaciones-web-y-programacion-de-scripts.md;temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md	25	no	SOA, SOAP/REST y WSDL, cliente/servidor por lado de ejecución y contenedor frente a MV en un párrafo; faltan multicapa, multidispositivo, tipología de sistemas y despliegue/monitorización/escalado de microservicios
1	2	temas/tecnica-informatica/07-metrica-v3-metodologias-agiles-y-scrum.md	5	no	Sólo la fase ASI de Métrica V3 en una línea; faltan toma de requisitos, modelado de procesos, casos de uso, técnicas de determinación y ERS
1	3	temas/tecnica-informatica/07-metrica-v3-metodologias-agiles-y-scrum.md	15	no	Fases EVS-ASI-DSI-CSI-IAS de Métrica V3 y mantenimiento en una línea, cascada frente a ágil; faltan pruebas, versiones, estrategias de sustitución/recepción y evaluación post-implantación
1	4	temas/tecnica-informatica/06-programacion-orientada-a-objetos-y-frameworks.md;temas/tecnica-informatica/13-otros-lenguajes-c-java-y-python.md;temas/tecnica-informatica/10-tecnologias-xml.md;temas/tecnica-informatica/08-desarrollo-de-aplicaciones-web-y-programacion-de-scripts.md	45	no	Pilares OO, sobrecarga/sobrescritura, MVC y frameworks, comparación C/C++/Java/Python, familia XML, HTML5 y JavaScript; faltan proceso unificado, UML, patrones de diseño y SGML
1	5	temas/tecnica-informatica/06-programacion-orientada-a-objetos-y-frameworks.md;temas/documentacion/04-inteligencia-artificial.md	10	no	Sólo la tabla de estructuras lineales/no lineales y, de IA, reconocimiento de voz y PLN aplicados a archivo; faltan TAD, ficheros, diseño de algoritmos, ordenación/búsqueda y fundamentos de IA
1	6	temas/tecnica-informatica/01-bases-de-datos-y-el-modelo-relacional.md	35	no	SGBD, familias relacional/NoSQL, sublenguajes SQL, sintaxis de consulta y diseño lógico/físico en una línea; faltan ANSI/SPARC, interoperabilidad entre gestores, administración, seguridad y copias
1	7	temas/tecnica-informatica/01-bases-de-datos-y-el-modelo-relacional.md	20	no	Normalización 1FN-3FN, claves y diseño lógico/físico, ACID sólo nombrado; faltan metodologías de modelado, concurrencia, bloqueos, monitor de transacciones y recuperación
1	8	-	0	no	Inteligencia de negocio, almacenes de datos, OLAP, big data y gobierno del dato no están en ningún tema de RTVE
1	9	temas/documentacion/02-documentacion-y-tecnologias.md;temas/documentacion/03-internet.md;temas/tecnica-informatica/10-tecnologias-xml.md	25	no	Tesauros e interoperabilidad de vocabularios (ISO 25964), RDF y datos enlazados, EBUCore/Dublin Core, XML/JSON; faltan catálogos de datos (DCAT), ontologías y estándares de compartición
1	10	temas/tecnica-informatica/09-desarrollo-de-aplicaciones-en-j2ee-y-net.md	5	no	Sólo gestores de dependencias y construcción (Maven, Gradle, npm); faltan CI/CD, DevOps, despliegue, documentación y formación de usuarios
1	11	temas/tecnica-informatica/07-metrica-v3-metodologias-agiles-y-scrum.md;temas/tecnica-informatica/06-programacion-orientada-a-objetos-y-frameworks.md	5	no	Sólo menciones a ISO 12207/15504 y a frameworks de pruebas; faltan planificación y técnicas de prueba, garantía de calidad, métricas, normas y CMMI
1	12	temas/tecnica-informatica/07-metrica-v3-metodologias-agiles-y-scrum.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	30	no	Métrica V3, ágil frente a cascada, Scrum (roles, eventos, sprint) y fases/pruebas de aceptación de un proyecto de implantación; faltan manifiesto ágil, XP, riesgos, presupuestación y control de costes
1	13	temas/gestion-administrativa/01-gestion-administrativa.md;temas/gestion-administrativa/12-microsoft-teams.md;temas/documentacion/03-internet.md;temas/tecnica-informatica/12-desarrollo-multimedia-formatos-de-streaming-para-web.md	15	no	Sistema de gestión documental en un párrafo, Teams como colaboración, búsqueda booleana y redes sociales, CDN nombrada; faltan CMS, sindicación, workflow, robots/spiders y SEO
1	14	temas/tecnica-informatica/20-seguridad-de-la-informacion-iso-27000-e-itil.md;temas/tecnica-informatica/21-la-seguridad-en-redes.md;temas/tecnica-informatica/22-proteccion-de-datos-personales.md;temas/tecnica-informatica/23-el-esquema-nacional-de-seguridad.md;temas/ing-sup-teleco/25-seguridad-en-tecnologias-de-la-informacion.md;temas/gestion-administrativa/01-gestion-administrativa.md	35	sí	ISO 27000, cripto simétrica/asimétrica, perímetro, X.509, ataques web, RGPD/LOPDGDD, ENS y gestión de riesgos, firma de la Ley 39/2015; faltan hash, pentest, desarrollo seguro, identidades y formatos de firma; normas a 21-12-2022
1	15	temas/ing-tec-teleco/10-sistemas-de-redaccion-digital.md;temas/ing-sup-teleco/14-sistemas-de-redaccion-e-informativos.md;temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md;temas/tecnica-informatica/19-sistemas-de-produccion-digital-audiovisual.md;temas/documentacion/04-inteligencia-artificial.md	25	no	MAM, newsroom, ingesta, baja resolución/transcodificación, automatización y flujos ST 2110; faltan PAM, APIs, IA en medios (riesgos, sesgos), accesibilidad, usabilidad, UX y atención a usuarios
1	16	temas/prl/prl-especifico.md;temas/enfermeria/20-equipos-de-proteccion-individual.md	75	sí	PRL: derechos y obligaciones (LPRL art. 14-29), PVD, TME y accidente in itinere/en misión en prl-especifico, EPI en enfermería 20; falta lo específico del puesto en RTVA/CSRTV; redacción 21-12-2022
29	1	temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/gestion-administrativa/08-ofimatica.md	40	no	Modelo von Neumann, buses, clasificación de periféricos, generaciones y hardware/software de puesto; faltan elementos de un sistema de información y tecnologías actuales del puesto
29	2	-	0	no	Diagnóstico y reparación de microinformática, errores de BIOS y benchmark no están en los temas de RTVE
29	3	temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md;temas/tecnica-informatica/15-politicas-y-procedimientos-para-la-conservacion-de-datos.md;temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/gestion-administrativa/08-ofimatica.md	45	no	HDD/SSD/cinta, RAID, DAS/NAS/SAN, tipos de copia, regla 3-2-1 y prueba de restauración; faltan herramientas de copia, compresión, clonación y recuperación de datos borrados o por virus
29	4	temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/tecnica-informatica/18-sistemas-multimedia-y-codificacion-de-ficheros-audiovisuales.md;temas/montaje-equipos/05-conectores-y-cables.md	30	no	Clasificación de periféricos, DVI/HDMI/DisplayPort frente a frente y RJ45; faltan impresión, digitalización, USB y VGA en detalle
29	5	temas/tecnica-informatica/14-arquitectura-y-administracion-de-sistemas-operativos.md	30	no	Funciones del SO, modos núcleo/usuario, tipos de núcleo y gestor de E/S; faltan procesos, algoritmos de planificación, concurrencia y multiprogramación
29	6	temas/tecnica-informatica/16-sistemas-operativos-personales.md;temas/gestion-administrativa/09-windows-10.md	15	sí	msi, netstat, BitLocker, UAC, dependencias de servicios y rutas UNC; entorno de Windows 10 22H2; faltan instalación de Windows 11, discos, GPO, recuperación y puntos de restauración
29	7	-	0	no	PowerShell no está desarrollado en ningún tema de RTVE
29	8	temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/tecnica-informatica/14-arquitectura-y-administracion-de-sistemas-operativos.md	10	no	Directorio Activo como implementación de LDAP y tabla de tareas en Windows Server; faltan dominio, controlador, gestión de usuarios y recursos
29	9	temas/tecnica-informatica/14-arquitectura-y-administracion-de-sistemas-operativos.md;temas/tecnica-informatica/16-sistemas-operativos-personales.md	20	no	Órdenes pwd, top, getfacl, systemctl, journalctl, cron y equivalencias Ubuntu; faltan instalación, jerarquía de ficheros, usuarios/grupos, discos, paquetes, copias y grep/sed/awk
29	10	temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/tese/12-comunicaciones-y-redes.md	20	no	Hipervisores tipo 1 y 2, ventajas de la virtualización y KVM sobre IP; faltan escritorio virtual, virtualización de aplicaciones, workspace y despliegue cloud/híbrido
29	11	temas/gestion-administrativa/11-office-2019.md;temas/gestion-administrativa/12-microsoft-teams.md	45	sí	Word, Excel, PowerPoint, Outlook y Teams (canales, reuniones, archivos); versiones congeladas Office 2019 y Teams 1.6; faltan OneDrive, SharePoint y el entorno Microsoft 365
29	12	temas/tecnica-informatica/01-bases-de-datos-y-el-modelo-relacional.md	70	no	DDL, DML, DCL y TCL con sus sentencias, SELECT completo y agregados; falta separar DQL y el estándar ANSI
29	13	temas/tecnica-informatica/02-comunicaciones-y-redes-modelos-y-direccionamiento.md;temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/tecnica-informatica/04-internet-origen-servicios-y-protocolos-seguros.md;temas/tecnica-informatica/05-elementos-de-interconexion-y-conmutacion.md;temas/gestion-administrativa/10-la-red-internet.md;temas/tese/12-comunicaciones-y-redes.md	45	no	OSI/TCP-IP, IPv4 clases y privadas, máscaras, IPv6 básico, HTTP/HTTPS/TLS, navegadores, VLAN, bandas 802.11; faltan cabeceras, transición IPv4/IPv6, topologías, control de acceso y 802.1x
29	14	temas/gestion-administrativa/08-ofimatica.md;temas/tecnica-informatica/21-la-seguridad-en-redes.md;temas/tecnica-informatica/20-seguridad-de-la-informacion-iso-27000-e-itil.md;temas/tecnica-informatica/04-internet-origen-servicios-y-protocolos-seguros.md;temas/gestion-administrativa/01-gestion-administrativa.md	40	no	Tipos de malware, perímetro y DMZ, VPN, cripto simétrica/asimétrica, certificados y firma electrónica; faltan antivirus, sellado de tiempo, autoridades de certificación y software FNMT
29	15	temas/gestion-administrativa/01-gestion-administrativa.md;temas/tecnica-informatica/23-el-esquema-nacional-de-seguridad.md	15	sí	Registro electrónico interoperable, firma y archivo electrónico de la Ley 39/2015 y ENS; falta ENI y normas técnicas de interoperabilidad; redacción 21-12-2022
29	16	temas/prl/prl-especifico.md;temas/enfermeria/20-equipos-de-proteccion-individual.md	75	sí	PRL: derechos y obligaciones (LPRL art. 14-29), PVD, TME y accidente in itinere/en misión en prl-especifico, EPI en enfermería 20; falta lo específico del puesto en RTVA/CSRTV; redacción 21-12-2022
35	1	temas/ing-sup-teleco/25-seguridad-en-tecnologias-de-la-informacion.md;temas/ing-tec-teleco/10-sistemas-de-redaccion-digital.md;temas/tecnica-informatica/19-sistemas-de-produccion-digital-audiovisual.md	30	no	Redes de señal, control, producción y gestión de una casa que emite y arquitectura de producción IP; faltan aplicaciones corporativas y sistemas críticos en detalle
35	2	temas/tecnica-informatica/14-arquitectura-y-administracion-de-sistemas-operativos.md;temas/tecnica-informatica/16-sistemas-operativos-personales.md	20	no	Arquitectura y órdenes de Linux/Unix, administración Windows básica; faltan móviles, instalación, hardening, monitorización y automatización
35	3	temas/tecnica-informatica/11-arquitectura-soa-y-servicios-web.md;temas/tecnica-informatica/08-desarrollo-de-aplicaciones-web-y-programacion-de-scripts.md;temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md	25	no	SOA, SOAP/REST, cliente/servidor y contenedores en un párrafo; faltan multicapa, multidispositivo, despliegue, monitorización y escalado
35	4	temas/tecnica-informatica/01-bases-de-datos-y-el-modelo-relacional.md	35	no	SGBD, NoSQL, SQL y diseño lógico/físico; faltan ANSI/SPARC, interoperabilidad, administración, seguridad y copias
35	5	temas/tecnica-informatica/10-tecnologias-xml.md;temas/tecnica-informatica/08-desarrollo-de-aplicaciones-web-y-programacion-de-scripts.md	55	no	Familia XML (DTD, XSD, XPath, XSLT), JSON, HTML5/XHTML, CSS y JavaScript; faltan SGML y otros lenguajes de script
35	6	temas/tecnica-informatica/02-comunicaciones-y-redes-modelos-y-direccionamiento.md;temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/tecnica-informatica/04-internet-origen-servicios-y-protocolos-seguros.md;temas/ing-tec-teleco/15-comunicaciones-y-redes.md	60	no	OSI y TCP/IP, direccionamiento IPv4/IPv6, protocolos y puertos, encaminamiento interno/externo e Internet; faltan interfaces entre capas y más profundidad
35	7	temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/tecnica-informatica/02-comunicaciones-y-redes-modelos-y-direccionamiento.md;temas/tecnica-informatica/21-la-seguridad-en-redes.md;temas/tese/12-comunicaciones-y-redes.md	50	no	VLAN, dominios, routing, DNS, QoS, SNMP, VPN, trunk y ACL; faltan DHCP desarrollado, WiFi corporativa, gestión de usuarios/dispositivos y monitorización de tráfico
35	8	temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/ing-sup-teleco/03-la-transmision-canal-modulacion-y-multiplexado.md	15	no	Protocolos de encaminamiento y WDM como multiplexado; faltan MPLS, SD-WAN y redes inalámbricas (espectro, acceso, seguridad, normativa)
35	9	temas/ing-sup-teleco/10-voz-imagen-multimedia-y-streaming.md	10	no	Convergencia y señalización SIP/RTP en tiempo real; faltan NGN/IMS, ToIP, comunicaciones unificadas, telefonía móvil y MDM/EMM/UEM
35	10	temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/ing-sup-teleco/10-voz-imagen-multimedia-y-streaming.md;temas/gestion-administrativa/12-microsoft-teams.md	15	no	QoS para videoconferencia, RTP/SIP y reuniones de Teams; faltan protocolos H.323, dimensionamiento y acondicionamiento de salas
35	11	temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md;temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/tecnica-informatica/15-politicas-y-procedimientos-para-la-conservacion-de-datos.md	40	no	Almacenamiento, consolidación DAS/NAS/SAN, redundancia de servidores, virtualización y copias con RPO/RTO; faltan planificación física del CPD, balanceo y plan de recuperación
35	12	temas/tecnica-informatica/21-la-seguridad-en-redes.md;temas/tecnica-informatica/20-seguridad-de-la-informacion-iso-27000-e-itil.md;temas/tecnica-informatica/04-internet-origen-servicios-y-protocolos-seguros.md;temas/tecnica-informatica/16-sistemas-operativos-personales.md;temas/gestion-administrativa/08-ofimatica.md	35	no	Perímetro, cortafuegos, VPN, cripto, TLS y certificados, BitLocker/UAC y malware; faltan firma digital, seguridad física, herramientas, gestión de incidentes y forense
35	13	temas/tecnica-informatica/23-el-esquema-nacional-de-seguridad.md;temas/ing-sup-teleco/25-seguridad-en-tecnologias-de-la-informacion.md;temas/ing-tec-teleco/18-seguridad-de-la-informacion.md	35	sí	Principios del ENS, dimensiones y categorías, gestión y tratamiento de riesgos; faltan herramientas, identidades, registro de eventos y respuesta a incidentes; ENS a 21-12-2022
35	14	temas/tecnica-informatica/23-el-esquema-nacional-de-seguridad.md	5	sí	Sólo la auditoría de certificación ligada a la categoría ENS; falta toda la auditoría informática
35	15	temas/tecnica-informatica/20-seguridad-de-la-informacion-iso-27000-e-itil.md;temas/ing-sup-teleco/25-seguridad-en-tecnologias-de-la-informacion.md;temas/gestion-administrativa/11-office-2019.md;temas/gestion-administrativa/12-microsoft-teams.md;temas/tecnica-informatica/04-internet-origen-servicios-y-protocolos-seguros.md	35	sí	ITIL v3 y v4 (incidentes, problemas, cambio, calendario), ofimática, Teams y protocolos de correo; faltan monitorización, planificación de trabajos, SLA y soporte; Office 2019/Teams versión congelada
35	16	temas/ing-tec-teleco/10-sistemas-de-redaccion-digital.md;temas/ing-sup-teleco/14-sistemas-de-redaccion-e-informativos.md;temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md;temas/tecnica-informatica/19-sistemas-de-produccion-digital-audiovisual.md;temas/ing-sup-teleco/19-produccion-audiovisual-sobre-infraestructura-ip.md	55	no	Ingesta, MAM, baja resolución y transcodificación, newsroom y protocolo con dispositivos, automatización de emisión, ST 2110; faltan PAM y APIs
35	17	temas/documentacion/02-documentacion-y-tecnologias.md;temas/documentacion/03-internet.md	5	no	Sólo tesauros, RDF y EBUCore para la parte de catálogos y semántica; BI, almacenes de datos y gobierno del dato ausentes
35	18	temas/tecnica-informatica/22-proteccion-de-datos-personales.md;temas/ing-tec-teleco/19-proteccion-de-datos-personales.md;temas/documentacion/04-inteligencia-artificial.md	35	sí	RGPD/LOPDGDD, protección desde el diseño y por defecto, y usos de IA en archivo; faltan riesgos, supervisión humana, sesgos, trazabilidad y propiedad intelectual de la IA; normas a 21-12-2022
35	19	temas/tese/16-mantenimiento-en-television.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	10	no	Licencias flotantes/nominales y pliegos por prestaciones; faltan cloud, contratación pública TIC, soberanía y reversibilidad, inventario y gestión de proveedores
35	20	temas/tecnica-informatica/07-metrica-v3-metodologias-agiles-y-scrum.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md;temas/gestion-administrativa/08-ofimatica.md	15	no	Fases de proyecto y pruebas de aceptación, software libre frente a propietario en un párrafo; faltan viabilidad, costes, CRM, IVR, VoiceXML, protección jurídica del software y DRM
35	21	temas/prl/prl-especifico.md;temas/enfermeria/20-equipos-de-proteccion-individual.md	75	sí	PRL: derechos y obligaciones (LPRL art. 14-29), PVD, TME y accidente in itinere/en misión en prl-especifico, EPI en enfermería 20; falta lo específico del puesto en RTVA/CSRTV; redacción 21-12-2022
36	1	temas/tecnica-informatica/11-arquitectura-soa-y-servicios-web.md;temas/tecnica-informatica/08-desarrollo-de-aplicaciones-web-y-programacion-de-scripts.md	30	no	SOA, SOAP/REST, WSDL y cliente/servidor; faltan multicapa, multidispositivo, tipología y ventajas e inconvenientes
36	2	temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md	15	no	Arquitectura clásica, generaciones y servidores redundantes; faltan móviles, supercomputación, altas prestaciones y cloud
36	3	temas/tecnica-informatica/14-arquitectura-y-administracion-de-sistemas-operativos.md;temas/tecnica-informatica/16-sistemas-operativos-personales.md	20	no	Arquitectura y órdenes Linux, administración Windows básica; faltan instalación, hardening, monitorización, automatización y actualización
36	4	temas/tecnica-informatica/02-comunicaciones-y-redes-modelos-y-direccionamiento.md;temas/tecnica-informatica/03-protocolos-tcp-ip-conmutacion-y-encaminamiento.md;temas/tecnica-informatica/05-elementos-de-interconexion-y-conmutacion.md;temas/tecnica-informatica/21-la-seguridad-en-redes.md;temas/ing-tec-teleco/15-comunicaciones-y-redes.md;temas/tese/12-comunicaciones-y-redes.md	55	no	OSI/TCP-IP, direccionamiento, VLAN, routing, DNS, QoS, VPN, medios y equipos de interconexión; faltan DHCP desarrollado y WiFi corporativa
36	5	temas/tecnica-informatica/04-internet-origen-servicios-y-protocolos-seguros.md;temas/tecnica-informatica/05-elementos-de-interconexion-y-conmutacion.md;temas/ing-sup-teleco/03-la-transmision-canal-modulacion-y-multiplexado.md;temas/ing-tec-teleco/15-comunicaciones-y-redes.md	40	no	Internet, HTTP/HTTPS/SSL-TLS, servicios, medios de cobre y fibra, dúplex y multiplexado; faltan redes de conmutación/difusión y comunicaciones móviles
36	6	temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md;temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/tecnica-informatica/15-politicas-y-procedimientos-para-la-conservacion-de-datos.md;temas/tecnica-informatica/01-bases-de-datos-y-el-modelo-relacional.md	35	no	SAN/NAS, RAID, jerarquía de almacenamiento y políticas de copia; faltan administración de BD y virtualización de almacenamiento
36	7	temas/tecnica-informatica/17-arquitectura-de-ordenadores-y-virtualizacion.md;temas/tecnica-informatica/11-arquitectura-soa-y-servicios-web.md	20	no	Hipervisores y ventajas, contenedor frente a MV y microservicios en un párrafo; faltan VDI, virtualización de almacenamiento y administración de contenedores
36	8	temas/tecnica-informatica/15-politicas-y-procedimientos-para-la-conservacion-de-datos.md;temas/ing-sup-teleco/18-almacenamiento-de-datos-y-servidores.md;temas/ing-sup-teleco/25-seguridad-en-tecnologias-de-la-informacion.md	55	no	RPO/RTO, tipos de copia, 3-2-1, restauración probada, redundancia de servidores y continuidad de emisión; faltan procedimientos formales de DRP
