puesto	tema	rtve	pct	actualizar	nota
26	1	temas/general/01-constitucion-espanola.md	85	sí	CE completa artículo por artículo: estructura, valores, principios, derechos fundamentales, garantías (arts. 53-54), amparo y Título IX (recurso y cuestión de inconstitucionalidad); redacción de 21-12-2022, falta la reforma del art. 49 (2024) y del 69.3 (2026) en el cuerpo y la LOTC
26	2	-	0	no	Estatuto de Autonomía para Andalucía y sector público andaluz: nada en RTVE (sólo una cita del art. 140 sobre la sede del TSJA en informacion/03)
26	3	-	0	no	Parlamento, Presidencia, Consejo de Gobierno, Consejo Consultivo, Consejo Audiovisual de Andalucía y Administración de la Junta: no están en RTVE
26	4	temas/general/07-ley-13-2022.md	10	sí	Sólo la misión y principios del servicio público y los arts. 72-75 (prestación autonómica) de la LGCA; la Ley 18/2007 de la RTVA y Canal Sur S.A. no están (la Ley 17/2006 de RTVE es norma distinta)
26	5	-	0	no	Sector público instrumental andaluz y técnica organizativa (competencia, delegación, avocación, desconcentración): nada en RTVE
26	6	temas/general/01-constitucion-espanola.md;temas/gestion/02-trabajo-por-cuenta-ajena.md	20	sí	Art. 9.3 CE (jerarquía, irretroactividad, publicidad), leyes orgánicas/ordinarias, decretos-ley y tratados (arts. 81-96) y fuentes de la relación laboral; falta el título preliminar del Código Civil, Derecho UE, principios generales, jurisprudencia, vigencia y derogación
26	7	temas/gestion-administrativa/01-gestion-administrativa.md	20	sí	Acto administrativo (producción, motivación, forma, eficacia, nulidad/anulabilidad) y registro según Leyes 39 y 40/2015; faltan interesados, fases, silencio, notificación electrónica, revisión de oficio, recursos y simplificación
26	8	temas/produccion-asistencia/17-proteccion-de-datos.md;temas/gestion/09-proteccion-de-datos.md;temas/tecnica-informatica/23-el-esquema-nacional-de-seguridad.md	50	sí	RGPD y LOPDGDD desarrollados (principios, categorías especiales, DPD, evaluación de impacto, sanciones) y ENS; nada de transparencia, buen gobierno, acceso a la información ni publicidad activa
26	9	temas/produccion/16-aspectos-juridicos.md	10	sí	Sólo contrato menor (art. 118) y subcontratación (arts. 215-217) de la LCSP; faltan ámbito, tipos, órganos, expediente, pliegos, procedimientos, modificación, resolución, recurso especial y especialidades audiovisuales
26	10	temas/gestion/10-el-presupuesto.md	10	sí	Concepto, principios y ciclo presupuestario con referencia a la LGP estatal; faltan Hacienda andaluza, estabilidad presupuestaria, subvenciones, reintegro, intervención, auditoría y responsabilidad contable
26	11	-	0	no	Responsabilidad patrimonial, potestad sancionadora, dominio público y bienes patrimoniales: no desarrollados en RTVE
26	12	temas/general/07-ley-13-2022.md;temas/informacion/04-codigo-menores.md;temas/informacion/07-directiva-2018-1808.md	60	sí	LGCA completa: servicio público, licencias, comunicaciones comerciales, menores, accesibilidad, pluralismo, CNMC; falta la Ley Audiovisual de Andalucía 10/2018, el Consejo Audiovisual de Andalucía y el Código de Conducta Comercial de la RTVA; LGCA en texto inicial
26	13	temas/general/01-constitucion-espanola.md;temas/documentacion/03-internet.md;temas/diseno-grafico/13-legislacion-y-derechos-de-autor.md;temas/informacion/10-carta-etica-fip.md;temas/informacion/06-manual-de-estilo.md	40	sí	Art. 20 y 18 CE, STC 27/2020 sobre propia imagen (LO 1/1982), derechos de imagen, secreto profesional y cláusula de conciencia en la Carta FIP y Manual de Estilo de RTVE; faltan LO 2/1984 de rectificación, LO 2/1997 y la responsabilidad jurídica de la actividad informativa
26	14	-	0	no	Derecho civil patrimonial (persona jurídica, negocio, obligaciones, contratos, ineficacia, prescripción, responsabilidad civil): nada en RTVE
26	15	temas/produccion/16-aspectos-juridicos.md;temas/produccion-asistencia/02-propiedad-intelectual.md;temas/general/07-ley-13-2022.md	15	sí	Contrato de producción con cláusula arbitral, transmisión de derechos de PI, negocios jurídicos sobre licencias y patrocinio en la LGCA; faltan coproducción, derechos de antena, distribución, exhibición, contratos electrónicos
26	16	temas/produccion-asistencia/02-propiedad-intelectual.md;temas/produccion/02-propiedad-intelectual.md	50	sí	TRLPI muy desarrollado: autoría, derechos morales y de explotación, límites, duración y dominio público, transmisión, obra audiovisual, derechos afines, entidades de gestión; falta propiedad industrial (marcas, nombres comerciales), formatos, archivo audiovisual e intangibles
