puesto	tema	rtve	pct	actualizar	nota
4	1	temas/produccion/01-la-produccion.md;temas/produccion-asistencia/01-la-produccion.md;temas/gestion/27-produccion-en-television.md;temas/produccion/04-generos-y-formatos.md	60	no	Fases, sistemas de producción y equipo de producción en TV; contenidos web en produccion/04; falta la radio y las funciones del área de producción descritas como tales
4	2	temas/produccion/05-equipos-humanos.md	10	sí	Sólo una línea sobre qué hace el ayudante de producción en el cuadro de puestos; nada del puesto en RTVA/CSRTV
4	3	temas/produccion/01-la-produccion.md;temas/produccion-asistencia/01-la-produccion.md;temas/produccion/11-tratamiento-de-imagen-y-sonido.md;temas/realizacion-tv/09-organizacion-de-la-produccion.md	60	no	Preproducción, producción y posproducción bien cubiertas; falta el cierre documental y el archivo
4	4	temas/produccion/03-escaleta-guion-desglose.md;temas/produccion-asistencia/03-el-guion.md;temas/produccion-asistencia/04-el-desglose.md	95	no	Mismo enunciado que el tema 3 de Producción de RTVE: escaleta, guion literario y técnico, desglose
4	5	temas/produccion/01-la-produccion.md;temas/produccion-asistencia/06-plan-y-orden-de-trabajo.md;temas/produccion/03-escaleta-guion-desglose.md;temas/produccion/08-produccion-en-exteriores.md	50	no	Plan de trabajo, orden de trabajo, parte, escaleta y permisos; faltan citaciones, hojas de ruta, listados y documentación de cierre
4	6	temas/produccion/05-equipos-humanos.md;temas/produccion/14-el-presupuesto.md	20	sí	Convocatoria de equipos y dietas del convenio de RTVE (norma distinta); faltan turnos, alojamiento, transporte y la normativa de dietas de la Junta de Andalucía
4	7	temas/produccion/08-produccion-en-exteriores.md;temas/produccion-asistencia/05-localizacion.md	60	no	Localización, comprobaciones, quién autoriza cada espacio, dron; falta la gestión de incidencias
4	8	temas/produccion/14-el-presupuesto.md;temas/produccion/16-aspectos-juridicos.md	35	sí	Pedido, albarán y factura; contrato menor y subcontratación (LCSP a 2022); falta la relación operativa con proveedores y la comprobación de prestaciones
4	9	temas/produccion/10-medios-artisticos.md;temas/produccion/07-el-estudio-de-television.md;temas/produccion/08-produccion-en-exteriores.md	15	no	Qué son los medios artísticos y técnicos, lista valorada del ATA; falta el ciclo de solicitud, entrega, devolución, inventario y conservación
4	10	temas/produccion/07-el-estudio-de-television.md;temas/realizacion/17-la-asistencia-en-plato-regiduria.md;temas/realizacion-tv/18-produccion-de-programas-directos-y-grabados.md	40	no	Plató, controles, dotación, regiduría y entradas de personas; faltan público, invitados, accesos y servicios generales
4	11	temas/produccion/08-produccion-en-exteriores.md;temas/realizacion/12-las-unidades-moviles.md;temas/realizacion/14-la-retransmision.md;temas/produccion/12-transporte-de-la-senal.md;temas/produccion-asistencia/13-equipos-de-exteriores.md	60	no	Compound, permisos, unidades móviles, enlaces y retransmisión; faltan acreditaciones y seguimiento de incidencias
4	12	temas/produccion-asistencia/14-documentacion-internacional.md;temas/produccion/08-produccion-en-exteriores.md	75	no	Cuaderno ATA, bono de cargos varios, pasaportes, visados, acreditaciones y frecuencias; no es exhaustivo por país
4	13	temas/produccion/12-transporte-de-la-senal.md;temas/realizacion-tv/10-funciones-del-realizador.md;temas/produccion-asistencia/16-gestion-de-servicios.md	15	no	Enlaces y mochilas, puestos de un informativo y agencias; nada de coberturas, convocatorias, coordinación territorial ni tiempos de entrega
4	14	temas/produccion/14-el-presupuesto.md	50	sí	Facturación, albaranes, justificantes, imputación y dietas; las dietas son del convenio de RTVE
4	15	temas/gestion-administrativa/11-office-2019.md;temas/gestion-administrativa/12-microsoft-teams.md;temas/gestion/30-excel-avanzado.md	50	sí	Word, Excel, Outlook, Teams y Excel avanzado en versiones concretas; faltan bases de datos y sistemas corporativos
4	16	temas/general/06-igualdad.md;temas/general/07-ley-13-2022.md;temas/informacion/04-codigo-menores.md	30	sí	Lenguaje inclusivo (Guía de RTVE), accesibilidad de la Ley 13/2022 y grabaciones con menores; faltan diversidad, sostenibilidad y trato a invitados
4	17	temas/prl/prl-especifico.md;temas/general/08-ley-31-1995.md	65	sí	Derechos y obligaciones, PVD, TME, in itinere y en misión, EPI (art. 17), a 21-12-2022; faltan los riesgos propios del puesto en RTVA/CSRTV
11	1	temas/gestion/25-la-empresa-como-organizacion.md;temas/gestion/26-gestion-por-competencias.md	30	no	Organización, liderazgo, motivación y evaluación del desempeño en general; no hay planificación ni supervisión de equipos de programas
11	2	temas/gestion/21-planificacion-y-control.md	15	no	Control de gestión e instrumentos de control; faltan memorias, partes de actividad e incidencias
11	3	temas/produccion/04-generos-y-formatos.md;temas/gestion/27-produccion-en-television.md;temas/general/07-ley-13-2022.md	40	sí	Géneros, formatos, público objetivo, parrilla y servicio público en la Ley 13/2022; falta la identidad de canal de la RTVA
11	4	temas/produccion/03-escaleta-guion-desglose.md;temas/gestion/27-produccion-en-television.md	20	no	Escaleta y estacionalidad de la parrilla; faltan temporadas, especiales, continuidad editorial y coordinación de áreas
11	5	temas/gestion/27-produccion-en-television.md;temas/produccion/04-generos-y-formatos.md	45	no	Franjas, factores de programación, competencia, contraprogramación, estacionalidad; faltan el ajuste de tiempos y los cambios imprevistos
11	6	temas/gestion/27-produccion-en-television.md;temas/produccion/04-generos-y-formatos.md	40	no	Medición de audiencia, rating, share, EGM, métricas web; falta la evaluación de resultados
11	7	temas/produccion/05-equipos-humanos.md;temas/realizacion-tv/10-funciones-del-realizador.md	20	no	Familias de equipos y cadena de mando; nada de la coordinación con documentación, continuidad y promoción
11	8	temas/produccion/01-la-produccion.md	5	no	Sólo la definición de producción interna, mixta y ajena; nada de control de calidad editorial ni técnica
11	9	temas/general/07-ley-13-2022.md;temas/informacion/04-codigo-menores.md	60	sí	Menores, accesibilidad y pluralismo en la Ley 13/2022; calificación con el código de RTVE (norma distinta)
11	10	temas/general/07-ley-13-2022.md;temas/realizacion-tv/06-la-television.md	5	sí	Sólo el marco autonómico general y los centros territoriales de RTVE; nada de Andalucía ni de desconexiones de la RTVA
11	11	temas/realizacion-tv/21-produccion-y-realizacion-online-transmedia.md;temas/realizacion/18-canales-online.md;temas/gestion/27-produccion-en-television.md	40	no	Transmedia, storyworld, canales online, podcast y streaming; falta la participación ciudadana
11	12	temas/produccion/14-el-presupuesto.md;temas/gestion/10-el-presupuesto.md;temas/gestion/21-planificacion-y-control.md	45	no	Presupuesto previo y ejecutado, desviaciones, control presupuestario; falta el seguimiento aplicado a programas
11	13	temas/gestion-administrativa/12-microsoft-teams.md	5	no	Sólo la herramienta de reuniones; nada de actas, informes ni cuadros de planificación
11	14	temas/general/06-igualdad.md	35	sí	Eje de contenidos del II Plan de Igualdad de RTVE y Guía de igualdad; falta diversidad y representación en formatos
11	15	temas/realizacion/17-la-asistencia-en-plato-regiduria.md	5	no	Sólo qué hace regiduría cuando algo falla; nada de crisis de parrilla, cancelaciones ni sustituciones
11	16	temas/produccion/15-organismos.md;temas/produccion/16-aspectos-juridicos.md	20	sí	Organismos (FORTA, UER, licencias) y contratación pública a 2022; faltan productoras, distribuidoras y operadores
11	17	temas/prl/prl-especifico.md;temas/general/08-ley-31-1995.md	65	sí	Derechos y obligaciones, PVD, TME, in itinere y en misión, EPI, a 21-12-2022; faltan los riesgos propios del puesto en RTVA/CSRTV
12	1	temas/documentacion/02-documentacion-y-tecnologias.md;temas/documentacion/05-centros-de-documentacion.md	40	no	Definición técnica y legal de documento y proceso documental; faltan los fines y funciones en una RTV pública y la tipología completa
12	2	temas/documentacion/02-documentacion-y-tecnologias.md;temas/documentacion/05-centros-de-documentacion.md	40	no	Selección, análisis (resumen), recuperación, difusión y conservación; faltan adquisición, registro y reutilización
12	3	temas/documentacion/03-internet.md;temas/documentacion/02-documentacion-y-tecnologias.md;temas/realizacion/18-canales-online.md	25	no	EBUCore, Dublin Core, resumen documental y metadatos de canal online; faltan tipos de metadatos, control de calidad y trazabilidad
12	4	temas/documentacion/02-documentacion-y-tecnologias.md;temas/documentacion/03-internet.md	40	no	Tesauro (ISO 25964), pre y postcoordinación, interoperabilidad, RDF; faltan autoridades, ontologías y mantenimiento
12	5	temas/documentacion/05-centros-de-documentacion.md;temas/edicion-montaje/05-soportes-formatos-e-ingesta.md	55	no	Cinta pegajosa, LTO, MXF, BWF, obsolescencia y mejor copia; faltan digitalización, migración y restauración
12	6	temas/documentacion/05-centros-de-documentacion.md;temas/documentacion/02-documentacion-y-tecnologias.md;temas/edicion-montaje/05-soportes-formatos-e-ingesta.md;temas/realizacion-tv/12-formatos-y-procesos-de-registro.md	40	no	MAM, PAM, DAM, gestor documental de RTVE, redacción digital, ingesta y proxy; faltan derechos y flujos de producción
12	7	temas/documentacion/03-internet.md;temas/documentacion/02-documentacion-y-tecnologias.md	35	no	Lógica booleana, operadores de Google, modelos de recuperación; faltan perfiles de usuario y fuentes
12	8	temas/produccion-asistencia/02-propiedad-intelectual.md;temas/produccion/02-propiedad-intelectual.md;temas/documentacion/03-internet.md	55	sí	LPI completa a 21-12-2022 (dominio público, límites, cesiones, gestión colectiva) y doctrina del TC sobre la imagen; falta la documentación justificativa
12	9	temas/documentacion/02-documentacion-y-tecnologias.md;temas/documentacion/03-internet.md;temas/documentacion/05-centros-de-documentacion.md	15	no	Patrimonio documental (Ley 16/1985), depósito legal web, ética de la preservación; nada del patrimonio andaluz ni de la RTVA
12	10	temas/documentacion/06-cultura-y-actualidad.md;temas/informacion/01-actualidad.md	15	sí	Actualidad preguntada en los exámenes, ya fechada; nada de Andalucía
12	11	temas/produccion-asistencia/17-proteccion-de-datos.md;temas/informacion/04-codigo-menores.md;temas/informacion/06-manual-de-estilo.md	35	sí	RGPD y LOPDGDD a 2022, menores; víctimas en el Manual de RTVE; nada específico del archivo
12	12	temas/documentacion/03-internet.md	5	no	Sólo técnicas de búsqueda web; no hay una tipología de fuentes
12	13	temas/documentacion/04-inteligencia-artificial.md	30	no	Tecnologías del habla, diarización, NLP, BERT, visión artificial; faltan OCR, etiquetado, revisión humana, sesgos y trazabilidad
12	14	temas/tecnica-informatica/15-politicas-y-procedimientos-para-la-conservacion-de-datos.md;temas/tecnica-informatica/20-seguridad-de-la-informacion-iso-27000-e-itil.md	20	no	Copias de seguridad, regla 3-2-1, ISO 27000 e ITIL; faltan duplicados, metadatos, auditoría documental e indicadores
12	15	temas/prl/prl-especifico.md;temas/general/08-ley-31-1995.md	65	sí	Derechos y obligaciones, PVD, TME, in itinere y en misión, EPI, a 21-12-2022; faltan los riesgos propios del puesto en RTVA/CSRTV
31	1	temas/sonido/12-el-sonido-en-la-radio-y-la-television.md	10	no	Sólo lo que distingue el sonido de radio; no hay un tema del lenguaje radiofónico
31	2	temas/produccion/03-escaleta-guion-desglose.md;temas/realizacion/02-el-guion.md	15	no	Escaleta, minutado y guion en televisión; nada de formatos radiofónicos
31	3	temas/documentacion/03-internet.md	5	no	Sólo búsqueda de información; nada de invitados, entrevistas ni permisos
31	4	temas/sonido/12-el-sonido-en-la-radio-y-la-television.md	5	no	Señas del control y autocontrol mencionados; nada de dicción ni locución
31	5	temas/realizacion-tv/07-generos-y-formatos.md	5	no	El magazine en televisión; nada de radio
31	6	temas/realizacion-tv/07-generos-y-formatos.md	15	no	Noticia, crónica, reportaje, entrevista y debate en TV; faltan tertulia, conexión y narración deportiva en radio
