puesto	tema	rtve	pct	actualizar	nota
5	1	temas/realizacion/06-lenguaje-tecnico-y-narrativo.md;temas/realizacion-tv/13-lenguaje-tecnico-y-narrativo.md;temas/edicion-montaje/10-lenguaje-audiovisual-y-montaje.md	90	no	Planos, encuadre, composición, eje, raccord, movimientos, ritmo y elipsis desarrollados; falta poco (ritmo televisivo aplicado)
5	2	temas/realizacion/02-el-guion.md;temas/realizacion/03-organizacion-de-la-produccion.md;temas/realizacion/13-la-asistencia-en-grabacion.md;temas/realizacion/04-decorados-planos-y-perspectivas.md	75	no	Guion literario/técnico, escaleta, minutado, storyboard, desglose, parte y planta de cámaras; rundown y órdenes de realización apenas
5	3	temas/realizacion/03-organizacion-de-la-produccion.md;temas/realizacion/13-la-asistencia-en-grabacion.md;temas/realizacion-tv/19-la-puesta-en-escena.md	40	no	Preparación previa de la asistencia, desglose, selección de medios y a qué departamento se pide qué; no hay flujos con redacción, documentación ni continuidad
5	4	temas/realizacion/11-el-estudio-controles-y-plato.md;temas/realizacion/15-la-emision-pantallas-servidores-y-grafismo.md;temas/realizacion-tv/18-produccion-de-programas-directos-y-grabados.md;temas/realizacion/10-el-mezclador-de-video.md	70	no	Controles, CCU, retornos, servidores, grafismo e intercom; iluminación y audio del control sólo de pasada
5	5	temas/realizacion/19-la-puesta-en-escena.md;temas/realizacion-tv/19-la-puesta-en-escena.md;temas/realizacion/04-decorados-planos-y-perspectivas.md;temas/realizacion/17-la-asistencia-en-plato-regiduria.md	55	no	Escenografía, decorado, planta de cámaras, ensayo y coordinación de plató; dirección de cámaras, marcas y movimientos poco desarrollados
5	6	temas/realizacion/13-la-asistencia-en-grabacion.md;temas/realizacion/17-la-asistencia-en-plato-regiduria.md;temas/realizacion-tv/18-produccion-de-programas-directos-y-grabados.md;temas/realizacion-tv/19-la-puesta-en-escena.md	50	no	Cantar el guion, cronometraje, ensayo general, incidencias en plató e intercom; falta prevención de errores y protocolo de incidencias en directo
5	7	temas/realizacion/06-lenguaje-tecnico-y-narrativo.md;temas/realizacion/13-la-asistencia-en-grabacion.md;temas/realizacion-tv/07-generos-y-formatos.md	30	no	Tratamiento con una cámara, grabación en exteriores y reportaje como género; promociones, microespacios y piezas postproducidas no
5	8	temas/realizacion/07-la-camara-accesorios-y-posibilidades.md;temas/realizacion-tv/14-la-camara-accesorios-y-posibilidades.md	90	no	Cámara, ópticas, diafragma, profundidad de campo, filtros, soportes y estabilización completos
5	9	temas/realizacion/10-el-mezclador-de-video.md;temas/realizacion-tv/15-el-mezclador.md	85	no	Mezclador, transiciones, llaves, chroma y DVE a fondo; señalización técnica (tally/piloto) sólo en temas/realizacion/11
5	10	temas/realizacion/08-la-iluminacion.md;temas/realizacion-tv/16-la-iluminacion.md	65	no	Temperatura de color, esquemas, clave alta/baja, contraste y aparatos; continuidad lumínica y coordinación con control de imagen escasas
5	11	temas/realizacion/09-el-sonido.md;temas/realizacion-tv/17-el-sonido.md;temas/realizacion-tv/18-produccion-de-programas-directos-y-grabados.md	70	no	Planos sonoros, micrófonos, retorno N-1, intercom y claqueta/código de tiempo; coordinación de microfonía con realización breve
5	12	temas/realizacion/15-la-emision-pantallas-servidores-y-grafismo.md;temas/realizacion/16-realidad-aumentada-y-produccion-online.md;temas/realizacion-tv/21-produccion-y-realizacion-online-transmedia.md	70	no	Grafismo en directo, generador de caracteres, pantallas, RA y decorados virtuales; rotulación como criterio y continuidad visual poco
5	13	temas/realizacion/20-postproduccion.md;temas/realizacion-tv/20-postproduccion.md	60	no	Teoría del montaje, edición no lineal, códecs, grafismo, animación y etalonaje; mezcla de sonido y revisión de calidad final no
