puesto	tema	rtve	pct	actualizar	nota
6	1	temas/tese/01-conceptos-basicos-de-electricidad.md;temas/tese/02-componentes-electronicos.md;temas/tese/13-equipos-de-medida-y-control.md	80	no	Magnitudes, ley de Ohm, potencia, CA y cos φ, componentes (R, C, diodo, transistor) y polímetro/osciloscopio; enfoque por preguntas de examen RTVE, sin figuras
6	2	temas/ing-tec-teleco/03-la-senal-audiovisual-y-su-sincronizacion.md;temas/tese/08-la-senal-audiovisual.md;temas/tese/09-la-senal-ip.md	80	no	SDI 259/292/424, trama, AES3/MADI, BB, trilevel, word clock, PTP, restos de analógico y ST 2110; falta un repaso más amplio de vídeo analógico compuesto
6	3	temas/tese/15-mantenimiento-preventivo-y-correctivo.md;temas/tese/16-mantenimiento-en-television.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	50	no	Mantenimiento de equipos de TV y fases/ejecución de una implantación (etiquetado, separación de canalizaciones); falta instalación de equipos de radio y producción en concreto
6	4	temas/tese/15-mantenimiento-preventivo-y-correctivo.md;temas/tese/16-mantenimiento-en-television.md;temas/teitse/09-mantenimiento-medida-y-tomas-de-tierra.md	70	no	Preventivo/correctivo/predictivo, método de diagnóstico por búsqueda binaria, averías típicas, niveles de repuesto; documentación del mantenimiento apenas tratada
6	5	temas/tese/10-equipos-utilizados-en-television-y-radio.md;temas/ing-sup-teleco/11-produccion-camaras-conmutacion-grabacion-y-edicion.md;temas/ing-tec-teleco/08-equipamiento-de-television.md;temas/montaje-equipos/01-instalaciones-y-unidades-moviles.md;temas/realizacion/10-el-mezclador-de-video.md	70	no	Cámara y cadena de cámara/CCU, matrices, servidores y RAID, mezcladores, intercom/IFB; prompter y monitores sólo mencionados
6	6	temas/montaje-equipos/05-conectores-y-cables.md;temas/ing-sup-teleco/04-medios-de-transmision-conectores-y-compresion.md;temas/sonido/11-lineas-y-conexiones.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	60	no	Coaxial/BNC, XLR, RJ45, fibra, medios guiados, panel de conexiones y medidas de recepción (reflectómetro, ojo, jitter); faltan medidas de fibra detalladas y distribución de señal
6	7	temas/ing-tec-teleco/04-television-digital-y-compresion.md;temas/ing-tec-teleco/09-estudios-continuidades-y-salas-tecnicas.md;temas/ing-sup-teleco/06-television-digital-codificacion-y-compresion.md;temas/ing-sup-teleco/03-la-transmision-canal-modulacion-y-multiplexado.md;temas/produccion/12-transporte-de-la-senal.md	75	no	Contribución/distribución/difusión, compresión, multiplexado, continuidad y transporte de señal; emisión automatizada poco desarrollada
6	8	temas/realizacion/12-las-unidades-moviles.md;temas/montaje-equipos/01-instalaciones-y-unidades-moviles.md;temas/tese/17-seguridad-en-instalaciones-tecnicas.md;temas/montaje-equipos/09-montaje-en-estudios-y-exteriores.md	55	no	Dotación de la UM, montaje paso a paso, acometida/grupo/SAI, climatización mencionada, protecciones del cuadro; falta electrónica de pruebas y climatización a fondo
6	9	temas/ing-tec-teleco/12-sonido.md;temas/sonido/11-lineas-y-conexiones.md;temas/tese/14-medidas-de-la-senal-de-video-audio-y-radiofrecuencia.md	80	no	dB y referencias, sonoridad, microfonía, líneas balanceadas, mesa, dinámica, interfaces y sincronía audio-vídeo
6	10	temas/ing-tec-teleco/07-video-y-audio-sobre-red.md;temas/tese/09-la-senal-ip.md;temas/ing-sup-teleco/19-produccion-audiovisual-sobre-infraestructura-ip.md	80	no	ST 2110, ST 2022-7, dos redes, PTP/ST 2059, latencia, FEC/SRT; monitorización de red escasa
6	11	temas/tese/13-equipos-de-medida-y-control.md;temas/tese/14-medidas-de-la-senal-de-video-audio-y-radiofrecuencia.md	80	no	Polímetro, osciloscopio, generador, WFM, vectorscopio, analizador de espectro, medidor de campo; software de diagnóstico no tratado
6	12	temas/tese/16-mantenimiento-en-television.md	5	no	Sólo un caso de avería en continuidad; nada sobre partes e incidencias
6	13	temas/teitse/13-planimetria-y-documentacion.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	30	no	Planimetría, documentación viva y esquemas de interconexión; faltan inventario, almacén de repuestos y obsolescencia
6	14	temas/teitse/03-dispositivos-de-proteccion-y-maniobra.md;temas/teitse/12-sistemas-de-alimentacion-ininterrumpida-pilas-y-baterias.md;temas/tese/15-mantenimiento-preventivo-y-correctivo.md	55	no	Puesta a tierra, esquemas de neutro, SAI (topologías, baterías), protectores de sobretensión y zumbido de 50 Hz; compatibilidad electromagnética no desarrollada
6	15	temas/prl/prl-especifico.md;temas/general/08-ley-31-1995.md;temas/enfermeria/20-equipos-de-proteccion-individual.md	70	sí	Derechos/obligaciones (arts. 14-29), PVD, TME, in itinere/misión y EPI; redacción a 21-12-2022 y sin los riesgos específicos RTVA/CSRTV
37	1	temas/tese/01-conceptos-basicos-de-electricidad.md;temas/tese/02-componentes-electronicos.md;temas/tese/13-equipos-de-medida-y-control.md	80	no	Magnitudes, ley de Ohm, potencia, CA y cos φ, componentes y medición básica
37	2	temas/ing-tec-teleco/03-la-senal-audiovisual-y-su-sincronizacion.md;temas/tese/08-la-senal-audiovisual.md;temas/tese/09-la-senal-ip.md	80	no	SDI, AES, sincronismos BB/trilevel/word clock/PTP y paso a IP; analógico sólo residual
37	3	temas/ing-tec-teleco/06-alta-y-ultraalta-definicion.md;temas/ing-sup-teleco/08-alta-y-ultraalta-definicion-estandares.md;temas/ing-tec-teleco/04-television-digital-y-compresion.md;temas/edicion-montaje/05-soportes-formatos-e-ingesta.md	75	no	Resolución, HD/UHD, color, HDR y curvas, compresión y códecs, intercambio de material y formatos de fichero; entregables apenas
37	4	temas/tese/15-mantenimiento-preventivo-y-correctivo.md;temas/tese/16-mantenimiento-en-television.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	50	no	Mantenimiento de equipos de TV e implantación; explotación y equipos de radio poco tratados
37	5	temas/tese/15-mantenimiento-preventivo-y-correctivo.md;temas/tese/16-mantenimiento-en-television.md;temas/teitse/09-mantenimiento-medida-y-tomas-de-tierra.md	70	no	Preventivo/correctivo/predictivo, método de diagnóstico, averías, repuestos; documentación escasa
37	6	temas/tese/10-equipos-utilizados-en-television-y-radio.md;temas/ing-sup-teleco/11-produccion-camaras-conmutacion-grabacion-y-edicion.md;temas/ing-tec-teleco/08-equipamiento-de-television.md;temas/montaje-equipos/01-instalaciones-y-unidades-moviles.md;temas/realizacion/10-el-mezclador-de-video.md	70	no	Cámara/CCU, matrices, servidores, mezcladores, intercom; prompter y monitores sólo citados
37	7	temas/montaje-equipos/05-conectores-y-cables.md;temas/ing-sup-teleco/04-medios-de-transmision-conectores-y-compresion.md;temas/sonido/11-lineas-y-conexiones.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	60	no	Cables, conectores, fibra, patch y medidas de recepción; faltan medidas de fibra y distribución detalladas
37	8	temas/ing-tec-teleco/04-television-digital-y-compresion.md;temas/ing-tec-teleco/09-estudios-continuidades-y-salas-tecnicas.md;temas/ing-sup-teleco/06-television-digital-codificacion-y-compresion.md;temas/ing-sup-teleco/03-la-transmision-canal-modulacion-y-multiplexado.md;temas/produccion/12-transporte-de-la-senal.md	75	no	Contribución/distribución/difusión, codificación, multiplexado, continuidad y transporte
37	9	temas/realizacion/12-las-unidades-moviles.md;temas/montaje-equipos/01-instalaciones-y-unidades-moviles.md;temas/tese/17-seguridad-en-instalaciones-tecnicas.md;temas/montaje-equipos/09-montaje-en-estudios-y-exteriores.md	55	no	Dotación y montaje de UM, acometida, grupo, SAI y seguridad; climatización y pruebas sólo mencionadas
37	10	temas/ing-tec-teleco/12-sonido.md;temas/sonido/11-lineas-y-conexiones.md;temas/tese/14-medidas-de-la-senal-de-video-audio-y-radiofrecuencia.md	80	no	Niveles y dB, microfonía, líneas, mesa, dinámica y sincronía audio-vídeo
37	11	temas/ing-tec-teleco/07-video-y-audio-sobre-red.md;temas/tese/09-la-senal-ip.md;temas/ing-sup-teleco/19-produccion-audiovisual-sobre-infraestructura-ip.md	80	no	ST 2110/2022-7, PTP, latencia, redundancia; monitorización escasa
37	12	temas/tese/13-equipos-de-medida-y-control.md;temas/tese/14-medidas-de-la-senal-de-video-audio-y-radiofrecuencia.md	80	no	Todo el instrumental nombrado salvo software de diagnóstico
37	13	temas/tese/16-mantenimiento-en-television.md	5	no	Sólo el caso del disco averiado en continuidad; nada de partes, escalado ni tiempos de respuesta
37	14	temas/teitse/13-planimetria-y-documentacion.md;temas/ing-tec-teleco/16-ingenieria-de-implantacion.md	30	no	Planos, esquemas y documentación de obra; faltan inventario, almacén y obsolescencia
