# Reparto a mano del bloque específico de Imagen Personal.
#
# **Un cuadernillo**: `27_preguntas_ip`, de 96 preguntas —80 principales más 16
# de reserva—, con su plantilla completa.
#
# De las 96, **diez son del bloque común** y las coge el banco general: la 2, la
# 5 y la 7 de la Constitución; la 3, la 6, la 8, la 84 y la 87 del III Convenio
# Colectivo; la 1 del II Plan de Igualdad; y la 4 de la Ley 8/2009.
#
# **Dos son del tema compartido de prevención** y van a su banco por
# `reclasificadas.tsv`: la 40 —concepto de seguridad en el trabajo— y la 73
# —accidente in itinere—. El anexo las pide en su punto 10.
#
# **Las otras 84 son del específico** y están todas repartidas.
#
# **Un punto del anexo no ha dado ni una pregunta**: el 7 —técnicas y materiales
# para la recreación de personajes—. Su tema se escribe igual, contra el
# programa.
#
# **Una pregunta está ANULADA en la plantilla oficial**: la 57, sobre la década
# del corte «a lo garçon». Se reparte igual, con su aviso.
#
# **Ninguna pregunta de este cuadernillo depende de una figura.**
#
# origen	nº	tema	motivo
origen	numero	tema	motivo
27_preguntas_ip	15	01	El peinado «bouffant» y su década
27_preguntas_ip	22	01	La «boca de asco» y su década
27_preguntas_ip	25	01	Peinado de época: sujeción de un promontorio
27_preguntas_ip	26	01	Pelucas de la época de María Antonieta
27_preguntas_ip	38	01	Katharine Hepburn y su década
27_preguntas_ip	39	01	La «cara lavada» y su década
27_preguntas_ip	43	01	El peinado de Verónica Lake
27_preguntas_ip	44	01	El arquetipo de belleza egipcio
27_preguntas_ip	46	01	Las pelucas del siglo XVIII
27_preguntas_ip	48	01	El peinado «à la Fontange»
27_preguntas_ip	53	01	El año de las tenacillas Marcel
27_preguntas_ip	55	01	Quién puso de moda la peluca «in folio»
27_preguntas_ip	56	01	La malaquita egipcia y su color
27_preguntas_ip	57	01	El corte «a lo garçon» y su década. ANULADA en la plantilla
27_preguntas_ip	58	01	Los peinados de los años cincuenta
27_preguntas_ip	62	01	El pigmento con que se oscurecían la piel los egipcios
27_preguntas_ip	75	01	El siglo de las pelucas altas y ornamentadas
27_preguntas_ip	77	01	El otro nombre del moño de Grace Kelly
27_preguntas_ip	81	01	El primer maquillaje de Max Factor para cine
27_preguntas_ip	47	02	La capa de la piel sobre la que se maquilla
27_preguntas_ip	67	02	Alteraciones de origen vascular
27_preguntas_ip	68	02	Origen de los principios activos de la higiene facial
27_preguntas_ip	79	02	Factores climáticos que influyen sobre la piel
27_preguntas_ip	94	02	La piel seca alípica
