# Reparto a mano del bloque específico de Técnica Informática.
#
# **Un cuadernillo**: `48_preguntas_tec_informatica`, de 96 preguntas —80
# principales más 16 de reserva—, con su plantilla completa.
#
# De las 96, **seis son del bloque común** y las coge el banco general: la 2 y
# la 29 son de la Ley 31/1995, la 21 y la 49 del II Plan de Igualdad, la 79 de
# la Ley 8/2009 y la 87 de la Constitución. **Las otras 90 son del específico**
# y están todas repartidas.
#
# **Dos puntos del anexo no han dado ni una pregunta**: el 14 —formatos de
# streaming para web— y el 18 —políticas de conservación de datos—. Sus temas se
# escriben igual, contra el programa.
#
# origen	nº	tema	motivo
origen	numero	tema	motivo
48_preguntas_tec_informatica	7	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	10	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	12	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	13	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	17	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	24	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	47	01	Bases de datos y lenguaje SQL
48_preguntas_tec_informatica	9	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	22	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	28	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	33	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	45	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	57	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	67	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	70	02	Modelo de referencia y direccionamiento IP
48_preguntas_tec_informatica	14	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	32	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	35	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	43	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	54	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	62	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	76	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	80	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	83	03	Protocolo, conmutación o encaminamiento
48_preguntas_tec_informatica	26	04	Servicio o protocolo de internet
48_preguntas_tec_informatica	60	04	Servicio o protocolo de internet
48_preguntas_tec_informatica	71	04	Servicio o protocolo de internet
48_preguntas_tec_informatica	6	05	Medio físico o dispositivo de interconexión
48_preguntas_tec_informatica	42	05	Medio físico o dispositivo de interconexión
48_preguntas_tec_informatica	5	06	Concepto de orientación a objetos o framework
48_preguntas_tec_informatica	18	06	Concepto de orientación a objetos o framework
48_preguntas_tec_informatica	38	06	Concepto de orientación a objetos o framework
