# Puestos de la Convocatoria 1/2025, actualización de 30 de julio de 2026.
# Recuento propio hecho sobre el Anexo 1 del PDF oficial, plaza a plaza:
# convocatoria/bases/1-2025_actualizacion_puestos_20260730.pdf
# La suma da 872, que es la cifra que el propio documento declara en su apartado 1.
#
# ocupacion_tipo	especialidad	puestos
TECNICA EQUIPOS Y SIST. ELECTRONICO		147
INFORMACION GRAFICA Y CAPTACION DE IMAGEN Y SONIDO		83
SONIDO		68
GESTION ADMINISTRATIVA		67
PRODUCCION (ASISTENCIA)		63
DOCUMENTACION		60
REALIZACION (ASISTENCIA)	AYTE. REALIZACION	55
EDICION, MONTAJE Y PROCESOS AUDIOVISUALES		50
GESTION		42
PRODUCCION		28
TECNICA INFORMATICA		28
INFORMACION Y CONTENIDOS		27
REALIZACION	TV	26
REALIZACION	RADIO	13
REALIZACION (ASISTENCIA)	MEZCLADOR	13
DISEÑO GRAFICO		12
CONSTRUCCION, MONTAJE, ACABADO DECORADOS		10
MONTAJE EQUIPOS AUDIOVISUALES		10
REALIZACION (ASISTENCIA)		7
INGENIERIA TECNICA	INDUSTRIAL	6
IMAGEN PERSONAL		5
INFORMACION Y CONTENIDOS	MUSICA Y CULTURA PARA R3	5
INGENIERIA TECNICA	TELECOMUNICACION	5
TECNICA EQUIPOS  INSTAL. Y SIST. ELECTRICOS		5
AMBIENTACION VESTUARIO		4
INFORMACION Y CONTENIDOS	REDES SOCIALES	4
INGENIERIA SUPERIOR	TELECOMUNICACION	4
ENFERMERIA DE EMPRESA		3
MEDICINA DE EMPRESA		3
GESTION	ABOGADO/A	2
GESTION	MARKETING	2
ARQUITECTURA SUPERIOR		1
ARQUITECTURA TECNICA		1
ILUMINACION		1
INFORMACION Y CONTENIDOS	DEPORTES	1
INFORMACION Y CONTENIDOS	PORTUGUES	1
INGENIERIA SUPERIOR	INDUSTRIAL	1
INGENIERIA SUPERIOR	INFORMATICA	1
INGENIERIA TECNICA	INFORMATICA	1
PREVENCION RIESGOS LABORALES		1
PROFESOR DE ORQUESTA	CHELO	1
PROFESOR DE ORQUESTA	PIANO	1
PROFESOR DE ORQUESTA	TROMPA	1
PROFESOR DE ORQUESTA	TROMPETA	1
PROYECTOS, EDIFICACION Y OBRA CIVIL (ASISTENCIA)		1
REALIZACION		1
