bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		2	20170331	20170331	BOE-A-2017-3480	
pr		1	20050507	20050506	BOE-A-2005-7354	
a1	Artículo 1	1	20050507	20050506	BOE-A-2005-7354	
a2	Artículo 2	1	20050507	20050506	BOE-A-2005-7354	
a3	Artículo 3	1	20050507	20050506	BOE-A-2005-7354	
a4	Artículo 4	2	20080222	20080221	BOE-A-2008-3176	
a5	Artículo 5	1	20050507	20050506	BOE-A-2005-7354	
a6	Artículo 6	1	20050507	20050506	BOE-A-2005-7354	
a7	Artículo 7	1	20050507	20050506	BOE-A-2005-7354	
a8	Artículo 8	1	20050507	20050506	BOE-A-2005-7354	
a9	Artículo 9	1	20050507	20050506	BOE-A-2005-7354	
daprimera	Disposición adicional primera	1	20050507	20050506	BOE-A-2005-7354	
dasegunda	Disposición adicional segunda	1	20050507	20050506	BOE-A-2005-7354	
datercera	Disposición adicional tercera	1	20050507	20050506	BOE-A-2005-7354	
dacuarta	Disposición adicional cuarta	1	20050507	20050506	BOE-A-2005-7354	
daquinta	Disposición adicional quinta	1	20050507	20050506	BOE-A-2005-7354	
dtprimera	Disposición transitoria primera	1	20050507	20050506	BOE-A-2005-7354	
dtsegunda	Disposición transitoria segunda	2	20080222	20080221	BOE-A-2008-3176	
dttercera	Disposición transitoria tercera	1	20050507	20050506	BOE-A-2005-7354	
dtcuarta	Disposición transitoria cuarta	1	20050507	20050506	BOE-A-2005-7354	
dtquinta	Disposición transitoria quinta	1	20050507	20050506	BOE-A-2005-7354	
ddunica	Disposición derogatoria única	1	20050507	20050506	BOE-A-2005-7354	
dfprimera	Disposición final primera	1	20050507	20050506	BOE-A-2005-7354	
dfsegunda	Disposición final segunda	1	20050507	20050506	BOE-A-2005-7354	
dftercera	Disposición final tercera	1	20050507	20050506	BOE-A-2005-7354	
firma		1	20050507	20050506	BOE-A-2005-7354	
