bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
no		1	20100322	20100121	BOE-A-2010-927	
preambulo		1	20100322	20100121	BOE-A-2010-927	
aunico	Artículo único	1	20100322	20100121	BOE-A-2010-927	
daunica	Disposición adicional única	1	20100322	20100121	BOE-A-2010-927	
ddunica	Disposición derogatoria única	1	20100322	20100121	BOE-A-2010-927	
dfprimera	Disposición final primera	1	20100322	20100121	BOE-A-2010-927	
dfsegunda	Disposición final segunda	1	20100322	20100121	BOE-A-2010-927	
dftercera	Disposición final tercera	1	20100322	20100121	BOE-A-2010-927	
firma		1	20100322	20100121	BOE-A-2010-927	
an	ANEXO	1	20100322	20100121	BOE-A-2010-927	
ci	CAPÍTULO I	2	20200430	20200429	BOE-A-2020-4707	
cii	CAPÍTULO II	2	20200430	20200429	BOE-A-2020-4707	
ciii	CAPÍTULO III	2	20200430	20200429	BOE-A-2020-4707	
civ	CAPÍTULO IV	1	20100322	20100121	BOE-A-2010-927	
