bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	19970513	19970423	BOE-A-1997-8670	
a1	Artículo 1	1	19970513	19970423	BOE-A-1997-8670	
a2	Artículo 2	1	19970513	19970423	BOE-A-1997-8670	
a3	Artículo 3	1	19970513	19970423	BOE-A-1997-8670	
a4	Artículo 4	1	19970513	19970423	BOE-A-1997-8670	
a5	Artículo 5	1	19970513	19970423	BOE-A-1997-8670	
a6	Artículo 6	1	19970513	19970423	BOE-A-1997-8670	
ddunica	Disposición derogatoria única	1	19970513	19970423	BOE-A-1997-8670	
dfprimera	Disposición final primera	1	19970513	19970423	BOE-A-1997-8670	
dfsegunda	Disposición final segunda	1	19970513	19970423	BOE-A-1997-8670	
firma		1	19970513	19970423	BOE-A-1997-8670	
an	ANEXO	1	19970513	19970423	BOE-A-1997-8670	
