SKU,Name,Type,Published,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Virtual,Downloadable,Meta:_toac_slug,Meta:_toac_actualizado,Meta:_toac_paginas,Meta:_toac_temas,Meta:_toac_preguntas,Meta:_toac_puestos
TOAC-AMBIENTACION-VESTUARIO,Temario específico · Ambientación Vestuario,simple,1,visible,8 temas · 135 páginas · 48 preguntas reales de examen,"<p>Temario específico de <strong>Ambientación Vestuario</strong> para las oposiciones de RTVE, con los 8 temas del programa oficial (ANEXO 2 de las bases), en 135 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>8 temas desarrollados y 8 esquemas de repaso.</li><li>48 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>4 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/ambientacion-vestuario/"">ver la muestra</a>.</p>",taxable,1,44.00,Temarios específicos,1,0,ambientacion-vestuario,2026-09-04,135,8,48,4
TOAC-DISENO-GRAFICO,Temario específico · Diseño Gráfico,simple,1,visible,14 temas · 188 páginas · 134 preguntas reales de examen,"<p>Temario específico de <strong>Diseño Gráfico</strong> para las oposiciones de RTVE, con los 14 temas del programa oficial (ANEXO 2 de las bases), en 188 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>14 temas desarrollados y 14 esquemas de repaso.</li><li>134 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>12 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/diseno-grafico/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,diseno-grafico,2026-09-04,188,14,134,12
TOAC-DOCUMENTACION,Temario específico · Documentación,simple,1,visible,7 temas · 155 páginas · 130 preguntas reales de examen,"<p>Temario específico de <strong>Documentación</strong> para las oposiciones de RTVE, con los 7 temas del programa oficial (ANEXO 2 de las bases), en 155 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>7 temas desarrollados y 7 esquemas de repaso.</li><li>130 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>60 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/documentacion/"">ver la muestra</a>.</p>",taxable,1,44.00,Temarios específicos,1,0,documentacion,2026-09-04,155,7,130,60
TOAC-EDICION-MONTAJE,"Temario específico · Edición, Montaje y Procesos Audiovisuales",simple,1,visible,11 temas · 195 páginas · 134 preguntas reales de examen,"<p>Temario específico de <strong>Edición, Montaje y Procesos Audiovisuales</strong> para las oposiciones de RTVE, con los 11 temas del programa oficial (ANEXO 2 de las bases), en 195 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>11 temas desarrollados y 11 esquemas de repaso.</li><li>134 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>50 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/edicion-montaje/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,edicion-montaje,2026-09-04,195,11,134,50
TOAC-ENFERMERIA,Temario específico · Enfermería de Empresa,simple,1,visible,25 temas · 335 páginas · sin preguntas de examen,"<p>Temario específico de <strong>Enfermería de Empresa</strong> para las oposiciones de RTVE, con los 25 temas del programa oficial (ANEXO 2 de las bases), en 335 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>25 temas desarrollados y 25 esquemas de repaso.</li><li>3 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/enfermeria/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,enfermeria,2026-09-04,335,25,,3
TOAC-GENERAL,Temario general · RTVE,simple,1,visible,8 temas · 259 páginas · 505 preguntas reales de examen,"<p>Los 8 temas del <strong>bloque común</strong>, idénticos en todas las ocupaciones tipo, en 259 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>8 temas desarrollados y 8 esquemas de repaso.</li><li>505 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/general/"">ver la muestra</a>.</p>",taxable,1,34.00,Temario general,1,0,general,2026-09-04,259,8,505,
TOAC-GESTION-ADMINISTRATIVA,Temario específico · Gestión Administrativa,simple,1,visible,13 temas · 182 páginas · 123 preguntas reales de examen,"<p>Temario específico de <strong>Gestión Administrativa</strong> para las oposiciones de RTVE, con los 13 temas del programa oficial (ANEXO 2 de las bases), en 182 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>13 temas desarrollados y 13 esquemas de repaso.</li><li>123 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>67 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/gestion-administrativa/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,gestion-administrativa,2026-09-04,182,13,123,67
TOAC-GESTION,Temario específico · Gestión,simple,1,visible,31 temas · 323 páginas · 129 preguntas reales de examen,"<p>Temario específico de <strong>Gestión</strong> para las oposiciones de RTVE, con los 31 temas del programa oficial (ANEXO 2 de las bases), en 323 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>31 temas desarrollados y 31 esquemas de repaso.</li><li>129 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>46 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/gestion/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,gestion,2026-09-04,323,31,129,46
TOAC-IMAGEN-PERSONAL,Temario específico · Imagen Personal,simple,1,visible,10 temas · 161 páginas · 132 preguntas reales de examen,"<p>Temario específico de <strong>Imagen Personal</strong> para las oposiciones de RTVE, con los 10 temas del programa oficial (ANEXO 2 de las bases), en 161 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>10 temas desarrollados y 10 esquemas de repaso.</li><li>132 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>5 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/imagen-personal/"">ver la muestra</a>.</p>",taxable,1,44.00,Temarios específicos,1,0,imagen-personal,2026-09-04,161,10,132,5
TOAC-INFORMACION-GRAFICA,Temario específico · Información Gráfica y Captación de Imagen y Sonido,simple,1,visible,12 temas · 219 páginas · 142 preguntas reales de examen,"<p>Temario específico de <strong>Información Gráfica y Captación de Imagen y Sonido</strong> para las oposiciones de RTVE, con los 12 temas del programa oficial (ANEXO 2 de las bases), en 219 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>12 temas desarrollados y 12 esquemas de repaso.</li><li>142 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>83 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/informacion-grafica/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,informacion-grafica,2026-09-04,219,12,142,83
